10 513.67 0 1680 28 60
98.41 83.03 92.93 84.35 53.4 26.35 6.41 92.68 39.0 53.86 
61.3 30.39 89.79 12.38 46.02 23.71 59.35 71.86 83.6 75.81 
9 8 9 8 5 3 1 9 4 5 
1 2 3 4 5 6 7 8 9 10 
3 1 3 1 1 3 3 3 3 1 
3 3 3 3 3 2 1 3 2 3 
1 8 9 6 3 3 8 8 7 1 
4508.49 3732.48 3864.29 3661.47 3952.52 3920.53 3871.23 3537.29 4466.96 4524.91 
0.23 0.79 0.75 0.7 0.12 0.35 0.79 0.75 0.49 0.31 
0.68 1.0 1.0 0.6 0.76 0.74 0.52 0.62 0.77 0.64 
0.9 0.57 0.84 1.0 0.74 1.0 0.8 0.53 0.88 0.87 
0.54 0.55 0.51 0.65 0.57 0.62 0.73 1.0 0.73 1.0 
0.66 0.94 0.56 1.0 0.72 0.53 1.0 0.85 0.55 0.79 
0.92 0.6 1.0 0.7 0.69 1.0 0.87 0.51 0.89 0.7 
0.2 0.17 0.24 0.27 0.16 0.25 0.26 0.14 0.24 0.31 
505.25 2008.45 1512.2 829.12 531.1 693.59 2295.94 2188.36 843.72 422.89 
89.04 300.49 449.12 190.07 78.91 213.23 561.66 260.29 157.03 127.54 
2026.23 9542.27 7061.01 3645.59 2155.49 2967.93 10979.68 10441.81 3718.58 1614.46 
-54.79 1002.43 1745.59 450.34 -105.44 566.16 2308.32 801.45 285.17 137.68 
180.34 74.65 154.57 73.23 79.05 156.82 154.85 141.49 178.68 90.5 
9 2 8 2 2 8 8 7 9 3 
22 17 53 1 9 5 58 57 31 55 
55 50 60 34 42 38 60 60 51 60 
2
0.0 0.0 
100.0 0.0 
0 3 3 3 3 4 2 2 1 3 1 2 
3 0 4 3 4 3 2 1 2 4 3 3 
3 4 0 1 1 1 1 2 3 0 2 1 
3 3 1 0 2 0 1 2 2 1 2 1 
3 4 1 2 0 2 2 3 3 0 1 1 
4 3 1 0 2 0 1 2 3 2 3 2 
2 2 1 1 2 1 0 1 1 1 1 1 
2 1 2 2 3 2 1 0 1 2 2 2 
1 2 3 2 3 3 1 1 0 3 1 1 
3 4 0 1 0 2 1 2 3 0 1 1 
1 3 2 2 1 3 1 2 1 1 0 0 
2 3 1 1 1 2 1 2 1 1 0 0 
