100 8199.15 0 1680 28 60
[6003.97, 2816.48, 8734.18, 7957.73, 6800.28, 9667.57, 1718.23, 8064.59, 7656.38, 424.95, 8278.2, 3568.14, 5977.32, 2520.09, 2735.71, 1471.8, 9440.02, 8334.5, 7538.79, 1572.94, 4096.53, 6542.84, 3547.65, 7219.72, 9212.75, 9283.96, 2401.6, 9009.1, 2685.63, 6425.81, 5857.07, 9114.76, 6234.76, 502.64, 3165.63, 7037.45, 5101.78, 7288.98, 415.92, 1918.23, 3706.46, 4668.61, 5111.85, 2720.57, 4280.78, 2804.48, 6933.44, 5286.47, 1644.62, 9316.28, 3195.29, 7229.18, 2829.27, 8146.25, 4609.05, 771.0, 8652.27, 8082.43, 7210.13, 5186.41, 9837.09, 8642.3, 8226.01, 2858.88, 3564.74, 8026.48, 4705.34, 3184.79, 5370.71, 5380.78, 6296.29, 263.41, 7545.74, 5149.61, 9616.53, 2549.95, 6882.59, 8318.44, 3032.96, 2647.76, 4076.65, 2539.0, 984.28, 9180.36, 4062.73, 5745.08, 438.66, 6187.24, 8729.44, 3677.92, 8000.75, 133.93, 5996.07, 9834.62, 6993.99, 9150.84, 2630.63, 6848.54, 4846.54, 6879.16]
[1368.5, 8970.22, 2122.97, 1664.89, 1482.63, 2295.93, 2648.58, 6393.04, 5667.44, 7216.1, 2569.42, 1253.45, 7534.29, 8310.52, 8706.45, 8159.78, 3992.52, 5754.98, 4576.86, 8927.01, 2065.24, 7978.07, 1521.12, 2732.01, 3440.09, 2222.68, 6893.51, 2356.07, 2922.12, 7138.05, 7226.98, 7628.83, 4643.26, 5077.7, 7322.83, 5605.92, 3870.15, 5936.75, 8580.4, 1745.25, 1947.91, 7505.71, 3182.83, 8949.48, 3545.98, 4229.91, 3735.38, 5716.67, 1330.52, 4056.5, 5608.27, 5890.83, 1775.09, 3733.78, 2806.98, 4366.94, 7512.07, 8458.82, 5449.0, 1330.21, 2331.01, 7378.39, 1363.09, 7478.85, 1547.14, 8465.89, 2748.64, 1465.2, 8561.48, 7963.98, 4699.48, 8873.43, 3135.88, 4298.09, 5569.33, 1306.37, 7148.85, 8327.31, 4358.08, 5220.34, 1477.59, 5932.13, 4415.63, 4657.45, 6577.0, 7588.4, 1604.46, 7834.77, 1735.34, 4239.43, 6433.71, 2796.66, 5841.04, 3188.83, 4173.04, 1337.64, 7914.37, 4131.55, 4276.65, 8040.54]
[6, 3, 8, 8, 7, 9, 2, 8, 7, 1, 8, 4, 6, 3, 3, 2, 9, 8, 7, 2, 4, 6, 4, 7, 9, 9, 3, 9, 3, 6, 6, 9, 6, 1, 3, 7, 5, 7, 1, 2, 4, 5, 5, 3, 4, 3, 7, 5, 2, 9, 3, 7, 3, 8, 5, 1, 8, 8, 7, 5, 9, 8, 8, 3, 4, 8, 5, 3, 5, 5, 6, 1, 7, 5, 9, 3, 7, 8, 3, 3, 4, 3, 1, 9, 4, 6, 1, 6, 8, 4, 8, 1, 6, 9, 7, 9, 3, 7, 5, 7]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]
[1, 3, 1, 1, 1, 3, 3, 1, 1, 3, 1, 2, 1, 3, 3, 3, 3, 1, 1, 3, 2, 1, 2, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 3, 3, 1, 2, 1, 3, 3, 2, 2, 2, 3, 2, 3, 1, 2, 3, 3, 3, 1, 3, 1, 2, 3, 1, 1, 1, 2, 3, 1, 1, 3, 2, 1, 2, 3, 2, 2, 1, 3, 1, 2, 3, 3, 1, 1, 3, 3, 2, 3, 3, 3, 2, 1, 3, 1, 1, 2, 1, 3, 1, 3, 1, 3, 3, 1, 2, 1]
[2, 3, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 3, 3, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 3, 1, 3, 2, 2, 1, 2, 2, 3, 2, 2, 2, 2, 1, 1, 2, 2, 3, 1, 3, 2, 2, 1, 1, 3, 2, 3, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 3, 1, 1, 2, 3, 2, 2, 2, 2, 2, 2, 1, 3, 2, 1, 3, 3, 1, 3, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 3, 2, 2, 2]
[7, 7, 9, 5, 4, 5, 3, 6, 2, 8, 7, 4, 5, 6, 5, 3, 1, 10, 1, 9, 6, 3, 6, 10, 6, 4, 4, 2, 4, 9, 8, 4, 2, 9, 8, 9, 9, 5, 5, 4, 1, 8, 9, 6, 2, 2, 10, 7, 9, 9, 2, 3, 4, 7, 6, 2, 4, 4, 7, 1, 5, 8, 6, 8, 7, 1, 6, 6, 6, 10, 1, 10, 3, 5, 8, 4, 1, 8, 3, 7, 8, 6, 5, 4, 7, 4, 10, 1, 5, 1, 2, 8, 6, 7, 8, 10, 1, 1, 3, 3]
[4019.26, 4331.42, 3325.43, 4693.09, 3483.85, 4332.0, 3856.14, 4496.82, 3941.99, 3719.62, 4033.4, 4432.89, 4559.58, 4667.03, 4386.96, 3235.25, 3703.3, 3928.09, 3725.21, 3301.69, 4568.63, 3695.54, 4455.5, 4175.16, 4775.87, 4305.52, 3925.02, 3955.45, 4139.93, 3348.5, 4336.59, 3983.76, 3823.34, 3407.2, 3455.27, 3427.72, 3310.38, 4327.13, 4277.85, 4225.65, 3775.24, 3778.59, 3448.65, 4718.25, 3716.72, 3986.74, 4317.71, 4407.34, 3261.83, 3422.76, 3801.33, 3751.92, 3885.68, 3742.9, 4825.79, 3516.64, 3512.66, 4166.17, 3635.54, 3506.38, 4639.57, 3751.9, 4862.03, 3907.0, 4216.76, 3707.05, 4414.58, 4503.68, 4818.95, 4172.6, 3821.99, 4240.95, 3636.34, 4428.75, 4094.35, 4426.19, 3662.36, 3442.3, 4102.93, 4628.94, 4105.41, 4683.6, 4708.95, 4395.57, 4148.02, 4544.06, 4595.08, 3495.57, 4307.86, 3794.58, 4316.34, 3456.02, 4258.65, 4499.43, 3839.24, 3988.7, 3788.27, 3716.15, 3411.72, 4026.03]
[0.73, 0.71, 0.23, 0.76, 0.6, 0.62, 0.64, 0.12, 0.79, 0.78, 0.63, 0.62, 0.75, 0.36, 0.57, 0.71, 0.55, 0.15, 0.54, 0.23, 0.49, 0.74, 0.38, 0.14, 0.05, 0.33, 0.76, 0.9, 0.27, 0.24, 0.78, 0.57, 0.22, 0.24, 0.74, 0.24, 0.22, 0.71, 0.45, 0.46, 0.58, 0.75, 0.24, 0.39, 0.42, 0.65, 0.15, 0.77, 0.22, 0.23, 0.53, 0.34, 0.62, 0.68, 0.7, 0.47, 0.43, 0.71, 0.66, 0.54, 0.45, 0.77, 0.48, 0.71, 0.67, 0.6, 0.48, 0.61, 0.11, 0.14, 0.52, 0.13, 0.75, 0.77, 0.77, 0.66, 0.52, 0.72, 0.56, 0.69, 0.77, 0.49, 0.67, 0.46, 0.67, 0.8, 0.17, 0.6, 0.83, 0.68, 0.22, 0.71, 0.23, 0.66, 0.78, 0.14, 0.4, 0.47, 0.37, 0.29]
[0.55, 0.77, 0.9, 0.92, 0.81, 0.75, 0.67, 0.94, 1.06, 0.59, 0.79, 0.96, 0.57, 1.05, 0.99, 0.6, 0.82, 0.55, 1.09, 0.69, 0.65, 0.58, 0.71, 0.64, 0.7, 1.08, 0.86, 1.03, 0.97, 0.99, 0.63, 1.05, 0.79, 0.82, 0.96, 0.83, 0.94, 1.08, 0.85, 0.84, 0.68, 0.7, 0.97, 0.54, 1.06, 0.61, 0.8, 0.54, 0.53, 0.94, 0.9, 0.58, 0.97, 0.89, 0.62, 0.87, 0.54, 0.69, 0.53, 0.92, 0.67, 1.01, 0.73, 1.09, 0.84, 0.8, 1.08, 0.73, 0.96, 0.6, 0.53, 0.58, 1.07, 0.76, 0.6, 0.65, 0.58, 0.63, 0.62, 0.93, 0.64, 0.82, 1.09, 1.02, 0.86, 0.6, 0.71, 0.63, 0.62, 0.83, 1.01, 0.81, 0.8, 0.75, 0.68, 0.99, 0.69, 0.52, 0.65, 1.03]
