40 2436.72 0 1680 1 1680
[776.03, 766.94, 445.01, 5186.87, 4891.43, 9208.45, 6370.49, 6859.16, 694.56, 2989.15, 131.83, 1980.95, 4687.39, 7122.41, 7242.46, 8178.33, 6349.17, 9242.86, 5266.0, 3091.54, 760.3, 4973.77, 8531.93, 4887.8, 991.76, 457.84, 3130.12, 5390.31, 2929.93, 9629.51, 3725.2, 7466.5, 9371.07, 815.61, 4177.55, 1650.15, 2691.13, 1660.73, 785.28, 1708.9]
[2263.96, 3202.94, 5524.85, 8764.88, 1715.61, 4237.8, 6422.24, 7236.97, 4038.59, 5309.18, 4914.68, 1615.49, 1059.47, 7294.45, 7867.67, 1737.97, 7670.47, 8749.69, 8865.98, 6682.24, 5913.5, 4410.68, 2157.57, 5082.15, 1162.04, 7279.11, 6344.92, 2381.5, 5489.75, 1496.44, 4591.25, 5522.87, 7916.16, 2650.17, 8054.03, 8737.85, 6179.35, 2670.61, 6149.35, 6065.53]
[1, 1, 1, 5, 5, 9, 6, 7, 1, 3, 1, 2, 5, 7, 7, 8, 6, 9, 5, 3, 1, 5, 8, 5, 1, 1, 3, 5, 3, 9, 4, 7, 9, 1, 4, 2, 3, 2, 1, 2]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]
[1, 1, 1, 3, 3, 3, 1, 3, 1, 1, 1, 2, 3, 3, 3, 1, 1, 3, 3, 1, 1, 3, 1, 3, 1, 1, 1, 3, 1, 3, 1, 3, 3, 1, 1, 2, 1, 2, 1, 2]
[2, 2, 2, 2, 2, 3, 1, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 1, 3, 3, 2, 1, 3, 2, 3, 2, 3]
[8, 8, 9, 1, 6, 5, 8, 10, 10, 8, 8, 3, 7, 10, 6, 1, 7, 1, 10, 9, 7, 10, 4, 9, 8, 6, 10, 7, 4, 8, 6, 10, 2, 7, 4, 1, 3, 8, 6, 3]
[4539.55, 4793.86, 4567.84, 4236.45, 4381.07, 4391.82, 4657.44, 3737.33, 3709.86, 4535.02, 4815.14, 3952.61, 4950.08, 3821.3, 4312.1, 4220.19, 4976.26, 4230.81, 3795.51, 4022.04, 4964.93, 3818.74, 3994.95, 4074.33, 4780.79, 4445.9, 3735.25, 4932.08, 4005.07, 4431.92, 4325.36, 3738.14, 4402.63, 4980.72, 4014.59, 4220.17, 3952.53, 4477.81, 4222.64, 3952.4]
[0.33, 0.42, 0.7, 0.51, 0.49, 0.55, 0.39, 0.15, 0.12, 0.49, 0.89, 0.56, 0.93, 0.11, 0.61, 0.54, 0.42, 0.4, 0.23, 0.2, 0.41, 0.21, 0.19, 0.65, 0.22, 0.61, 0.23, 0.76, 0.51, 0.16, 0.38, 0.14, 0.51, 0.61, 0.4, 0.32, 0.68, 0.35, 0.52, 0.72]
[0.54, 1.0, 0.63, 0.62, 1.01, 0.55, 0.76, 0.95, 0.71, 0.57, 1.09, 0.74, 1.04, 0.92, 0.85, 0.65, 1.0, 0.68, 1.05, 0.68, 0.76, 0.57, 1.0, 0.9, 0.52, 0.73, 0.65, 1.1, 0.85, 0.65, 0.56, 0.85, 1.04, 0.8, 0.57, 0.7, 0.7, 0.97, 0.64, 0.86]
[0.52, 0.58, 1.04, 0.91, 0.63, 0.77, 0.96, 1.05, 0.72, 0.58, 0.83, 0.52, 0.73, 0.96, 0.98, 0.57, 0.94, 0.98, 0.94, 0.87, 0.81, 0.62, 1.01, 0.63, 0.76, 0.68, 0.67, 0.56, 0.51, 1.07, 0.66, 0.84, 0.91, 0.63, 0.63, 1.05, 1.01, 1.01, 1.03, 0.99]
[0.65, 1.02, 0.66, 1.0, 0.82, 0.52, 0.82, 0.93, 1.09, 0.86, 0.92, 0.65, 0.81, 0.67, 0.89, 0.93, 1.09, 1.03, 0.86, 1.01, 0.69, 0.98, 0.9, 0.8, 0.73, 0.58, 0.63, 0.87, 0.73, 0.57, 0.91, 0.8, 1.08, 0.94, 0.91, 0.96, 0.8, 0.77, 0.71, 0.81]
