Arquivo Algoritmo estrutura modoRealoc criterio alpha modoBusca modoPerturba nivelPerturba nIter aceitacaoLimite nivelIntensifica nIterMelhora taxaAlpha nIterAlpha taxaPerturba taxaAceitacao nIterRestart alphaRestart maxIterFO tempo fitness gastos 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/70p_10s_7dt.dat Mult-Start 1 1 1 0.99 13 13 7 25 1 0 10 0.95 10 3 0.99 10 0.9 10 6 65513.7 4901.82 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/70p_10s_7dt.dat GRASP 1 1 1 0.99 13 13 7 25 1 0 10 0.95 10 3 0.99 10 0.9 10 34141 65529.1 4912.78 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/70p_10s_7dt.dat GRASP_ada 1 1 1 0.99 13 13 7 25 1 0 10 0.95 10 3 0.99 10 0.9 10 27086 65485.1 4894.33 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/70p_10s_7dt.dat ILS 1 1 1 0.99 13 13 7 25 1 0 10 0.95 10 3 0.99 10 0.9 10 53050 66010.5 4902.94 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/70p_10s_7dt.dat ILS_ada 1 1 1 0.99 13 13 13 25 1 0 10 0.95 10 3 0.99 10 0.9 10 65634 65867.8 4903.64 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat Mult-Start 1 1 1 0.99 13 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 2 10049.4 845.46 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat GRASP 1 1 1 0.99 13 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 280 10049.4 845.46 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat GRASP_ada 1 1 1 0.99 13 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 113 10049.4 845.46 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat ILS 1 1 1 0.99 13 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 179 10049.4 845.46 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat ILS_ada 1 1 1 0.99 13 13 21 175 1 0 10 0.95 10 1 0.99 10 0.9 10 439 10049.4 845.46 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/200p_5s_1dt.dat Mult-Start 1 1 1 0.99 13 13 20 8 1 0 10 0.95 10 10 0.99 10 0.9 10 7 108382 4724.96 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/200p_5s_1dt.dat GRASP 1 1 1 0.99 13 13 20 8 1 0 10 0.95 10 10 0.99 10 0.9 10 82210 113140 5035.66 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/200p_5s_1dt.dat GRASP_ada 1 1 1 0.99 13 13 20 8 1 0 10 0.95 10 10 0.99 10 0.9 10 26380 113978 5003.81 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/200p_5s_1dt.dat ILS 1 1 1 0.99 13 13 20 8 1 0 10 0.95 10 10 0.99 10 0.9 10 67510 113521 5123.1 
/home/joaoweissmann/Documents/repos/projects_optimization/1_gerador_instancias_sinteticas/instancias/200p_5s_1dt.dat ILS_ada 1 1 1 0.99 13 13 20 8 1 0 10 0.95 10 10 0.99 10 0.9 10 61629 114322 5113.47 
