Arquivo Algoritmo estrutura modoRealoc criterio alpha modoBusca modoPerturba nivelPerturba nIter aceitacaoLimite nivelIntensifica nIterMelhora taxaAlpha nIterAlpha taxaPerturba taxaAceitacao nIterRestart alphaRestart maxIterFO tempo fitness gastos 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_1dt.dat Mult-Start 1 1 1 0.7 14 13 2 136 1 0 20 0.7 20 4 0.8 15 0.9 10 31 66892.8 2041.08 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_1dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 3210 67863.7 2125.17 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_1dt.dat GRASP_ada 1 1 1 0.7 14 13 2 136 1 0 20 0.7 20 4 0.8 15 0.9 10 28464 67926.1 2082.24 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_1dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 4921 66383.8 2123.92 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_1dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 6766 66981.3 2086.67 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/200p_10s_14dt.dat Mult-Start 1 1 1 0.8 14 13 2 151 1 0 16 0.7 20 4 0.8 15 0.9 10 42 218296 10569.1 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/200p_10s_14dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 30450 219522 10297.4 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/200p_10s_14dt.dat GRASP_ada 1 1 1 0.7 14 13 2 151 1 0 20 0.7 20 4 0.8 15 0.9 10 551256 229395 11115.3 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/200p_10s_14dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 32633 225862 10992.3 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/200p_10s_14dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 101259 232152 11608.6 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_1dt.dat Mult-Start 1 1 1 0.8 14 13 2 120 1 0 16 0.7 20 4 0.8 15 0.9 10 38 95045 4347.65 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_1dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 8694 95503.5 4436.15 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_1dt.dat GRASP_ada 1 1 1 0.7 14 13 2 120 1 0 20 0.7 20 4 0.8 15 0.9 10 66003 98308.2 4732.34 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_1dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 11936 95165.6 4511.85 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_1dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 13883 97229.2 4706.34 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_5s_14dt.dat Mult-Start 1 1 1 0.8 14 13 2 3333 1 0 16 0.7 20 4 0.8 15 0.9 10 5 7064.91 546.42 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_5s_14dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 4 7064.91 546.42 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_5s_14dt.dat GRASP_ada 1 1 1 0.7 14 13 2 3333 1 0 20 0.7 20 4 0.8 15 0.9 10 1075 7064.91 546.42 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_5s_14dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 3 7064.91 546.42 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_5s_14dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 5 7064.91 546.42 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/270p_5s_7dt.dat Mult-Start 1 1 1 0.8 14 13 2 111 1 0 16 0.7 20 4 0.8 15 0.9 10 43 209376 5329.67 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/270p_5s_7dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 32562 215491 5495.91 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/270p_5s_7dt.dat GRASP_ada 1 1 1 0.7 14 13 2 111 1 0 20 0.7 20 4 0.8 15 0.9 10 225230 220966 5700.56 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/270p_5s_7dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 57479 222702 5874.49 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/270p_5s_7dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 20637 208601 5580.96 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_7dt.dat Mult-Start 1 1 1 0.8 14 13 2 120 1 0 16 0.7 20 4 0.8 15 0.9 10 31 204545 5105.25 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_7dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 8945 203211 5253.1 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_7dt.dat GRASP_ada 1 1 1 0.7 14 13 2 120 1 0 20 0.7 20 4 0.8 15 0.9 10 203375 211732 5506.7 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_7dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 46448 211364 5545.55 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_5s_7dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 11468 204852 5397.86 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_10s_1dt.dat Mult-Start 1 1 1 0.8 14 13 2 136 1 0 16 0.7 20 4 0.8 15 0.9 10 85 178791 9503.11 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_10s_1dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 34744 177731 9708.72 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_10s_1dt.dat GRASP_ada 1 1 1 0.7 14 13 2 136 1 0 20 0.7 20 4 0.8 15 0.9 10 466146 182149 9789.81 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_10s_1dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 27097 176725 9702.06 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_10s_1dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 60926 176721 9782.71 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/100p_5s_14dt.dat Mult-Start 1 1 1 0.8 14 13 2 303 1 0 16 0.7 20 4 0.8 15 0.9 10 31 116562 5445.1 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/100p_5s_14dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 1104 114369 5313.2 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/100p_5s_14dt.dat GRASP_ada 1 1 1 0.7 14 13 2 303 1 0 20 0.7 20 4 0.8 15 0.9 10 95011 119389 5728.11 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/100p_5s_14dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 4214 117235 5599.96 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/100p_5s_14dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 6500 118037 5643.14 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/70p_5s_7dt.dat Mult-Start 1 1 1 0.8 14 13 2 434 1 0 16 0.7 20 4 0.8 15 0.9 10 12 98050.6 3673.6 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/70p_5s_7dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 309 97365 3635.82 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/70p_5s_7dt.dat GRASP_ada 1 1 1 0.7 14 13 2 434 1 0 20 0.7 20 4 0.8 15 0.9 10 18129 98727.2 3674.47 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/70p_5s_7dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 391 97479.4 3678.91 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/70p_5s_7dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 587 97628.1 3669.41 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_7dt.dat Mult-Start 1 1 1 0.8 14 13 2 136 1 0 16 0.7 20 4 0.8 15 0.9 10 33 77376.9 2048.7 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_7dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 3132 78020 2053.4 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_7dt.dat GRASP_ada 1 1 1 0.7 14 13 2 136 1 0 20 0.7 20 4 0.8 15 0.9 10 45391 80730.6 2207.01 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_7dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 7375 83393.2 2225.93 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/220p_2s_7dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 4986 80944.6 2303.16 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_1dt.dat Mult-Start 1 1 1 0.8 14 13 2 3333 1 0 16 0.7 20 4 0.8 15 0.9 10 4 8217.43 484.44 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_1dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 2 8217.43 484.44 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_1dt.dat GRASP_ada 1 1 1 0.7 14 13 2 3333 1 0 20 0.7 20 4 0.8 15 0.9 10 805 8217.43 484.44 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_1dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 2 8217.43 484.44 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_1dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 1 8217.43 484.44 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_10s_14dt.dat Mult-Start 1 1 1 0.8 14 13 2 120 1 0 16 0.7 20 4 0.8 15 0.9 10 45 162785 9942.51 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_10s_14dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 51607 167604 10734 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_10s_14dt.dat GRASP_ada 1 1 1 0.7 14 13 2 120 1 0 20 0.7 20 4 0.8 15 0.9 10 516160 170496 10679 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_10s_14dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 14820 166409 10492.2 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_10s_14dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 166979 173422 11213.1 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_7dt.dat Mult-Start 1 1 1 0.8 14 13 2 3333 1 0 16 0.7 20 4 0.8 15 0.9 10 11 14011 553.54 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_7dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 5 14011 553.54 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_7dt.dat GRASP_ada 1 1 1 0.7 14 13 2 3333 1 0 20 0.7 20 4 0.8 15 0.9 10 862 14011 553.54 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_7dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 4 14011 553.54 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/10p_2s_7dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 2 12106.4 489.24 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_2s_14dt.dat Mult-Start 1 1 1 0.8 14 13 2 120 1 0 16 0.7 20 4 0.8 15 0.9 10 15 75507.1 2458.35 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_2s_14dt.dat GRASP 1 1 1 0.9 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 1080 73962.9 2341.68 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_2s_14dt.dat GRASP_ada 1 1 1 0.7 14 13 2 120 1 0 20 0.7 20 4 0.8 15 0.9 10 55288 78646.6 2653.81 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_2s_14dt.dat ILS 1 1 1 0.9 14 13 2 10 1 0 20 0.7 20 4 0.8 15 0.9 10 13343 77978.1 2718.4 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instance_set_1/instancias/250p_2s_14dt.dat ILS_ada 1 1 1 0.8 14 13 2 10 1 0 16 0.7 20 4 0.8 15 0.9 10 10607 74670.2 2662.5 
