Arquivo Algoritmo estrutura modoRealoc criterio alpha modoBusca modoPerturba nivelPerturba nIter aceitacaoLimite nivelIntensifica nIterMelhora taxaAlpha nIterAlpha taxaPerturba taxaAceitacao nIterRestart alphaRestart maxIterFO tempo fitness gastos 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_28dt.dat Mult-Start 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 3 16551.6 1407.84 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_28dt.dat GRASP 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 164 16551.6 1407.84 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_28dt.dat GRASP_ada 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 123 16551.6 1407.84 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_28dt.dat ILS 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 203 16743.3 1415.75 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_28dt.dat ILS_ada 1 1 1 0.99 14 13 37 87 1 0 10 0.95 10 1 0.99 10 0.9 10 118 16551.6 1407.84 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_14dt.dat Mult-Start 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 2 10919.2 702.15 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_14dt.dat GRASP 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 31 10919.2 702.15 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_14dt.dat GRASP_ada 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 34 10919.2 702.15 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_14dt.dat ILS 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 45 10571.9 631.56 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_14dt.dat ILS_ada 1 1 1 0.99 14 13 21 175 1 0 10 0.95 10 1 0.99 10 0.9 10 110 10571.9 631.56 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_14dt.dat Mult-Start 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 1 29971.6 1680.05 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_14dt.dat GRASP 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 350 29971.6 1680.05 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_14dt.dat GRASP_ada 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 180 29971.6 1680.05 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_14dt.dat ILS 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 402 29933.8 1669.47 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_14dt.dat ILS_ada 1 1 1 0.99 14 13 28 58 1 0 10 0.95 10 1 0.99 10 0.9 10 421 29933.8 1669.47 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_28dt.dat Mult-Start 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 1 8712.16 556.84 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_28dt.dat GRASP 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 37 8712.16 556.84 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_28dt.dat GRASP_ada 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 28 8712.16 556.84 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_28dt.dat ILS 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 39 8712.16 556.84 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_5s_28dt.dat ILS_ada 1 1 1 0.99 14 13 21 175 1 0 10 0.95 10 1 0.99 10 0.9 10 83 8712.16 556.84 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_28dt.dat Mult-Start 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 1 28923.2 1314.33 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_28dt.dat GRASP 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 388 29312.3 1317.88 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_28dt.dat GRASP_ada 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 198 29146.1 1323.86 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_28dt.dat ILS 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 541 29003.2 1327.28 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_5s_28dt.dat ILS_ada 1 1 1 0.99 14 13 15 58 1 0 10 0.95 10 1 0.99 10 0.9 10 736 28790 1317.68 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_14dt.dat Mult-Start 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 1 23863.1 1178.8 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_14dt.dat GRASP 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 356 23863.1 1178.8 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_14dt.dat GRASP_ada 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 177 23863.1 1178.8 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_14dt.dat ILS 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 428 23830.2 1158.4 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_14dt.dat ILS_ada 1 1 1 0.99 14 13 28 58 1 0 10 0.95 10 1 0.99 10 0.9 10 529 23830.2 1158.4 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_14dt.dat Mult-Start 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 1 23632.1 1222.16 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_14dt.dat GRASP 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 157 23632.1 1222.16 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_14dt.dat GRASP_ada 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 77 23632.1 1222.16 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_14dt.dat ILS 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 174 23632.1 1222.16 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_14dt.dat ILS_ada 1 1 1 0.99 14 13 37 87 1 0 10 0.95 10 1 0.99 10 0.9 10 191 23461.4 1194.13 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat Mult-Start 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 1 18190.3 786.58 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat GRASP 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 23 18190.3 786.58 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat GRASP_ada 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 23 17719.9 708.83 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat ILS 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 39 17719.9 708.83 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_14dt.dat ILS_ada 1 1 1 0.99 14 13 21 175 1 0 10 0.95 10 1 0.99 10 0.9 10 33 17719.9 708.83 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_14dt.dat Mult-Start 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 2 22553.5 1847.75 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_14dt.dat GRASP 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 127 22553.5 1847.75 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_14dt.dat GRASP_ada 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 101 22553.5 1847.75 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_14dt.dat ILS 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 174 22553.5 1847.75 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_5s_14dt.dat ILS_ada 1 1 1 0.99 14 13 37 87 1 0 10 0.95 10 1 0.99 10 0.9 10 324 22553.5 1847.75 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_28dt.dat Mult-Start 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 1 2304.1 483.38 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_28dt.dat GRASP 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 26 2304.1 483.38 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_28dt.dat GRASP_ada 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 22 2304.1 483.38 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_28dt.dat ILS 1 1 1 0.99 14 13 1 175 1 0 10 0.95 10 1 0.99 10 0.9 10 28 2304.1 483.38 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/10p_2s_28dt.dat ILS_ada 1 1 1 0.99 14 13 21 175 1 0 10 0.95 10 1 0.99 10 0.9 10 31 2304.1 483.38 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_28dt.dat Mult-Start 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 1 22789.1 937.54 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_28dt.dat GRASP 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 128 22789.1 937.54 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_28dt.dat GRASP_ada 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 83 22789.1 937.54 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_28dt.dat ILS 1 1 1 0.99 14 13 2 87 1 0 10 0.95 10 1 0.99 10 0.9 10 148 22789.1 937.54 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/20p_2s_28dt.dat ILS_ada 1 1 1 0.99 14 13 37 87 1 0 10 0.95 10 1 0.99 10 0.9 10 197 22789.1 937.54 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_28dt.dat Mult-Start 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 2 30287.7 1898.15 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_28dt.dat GRASP 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 367 30287.7 1898.15 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_28dt.dat GRASP_ada 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 197 30211.3 1897.63 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_28dt.dat ILS 1 1 1 0.99 14 13 3 58 1 0 10 0.95 10 1 0.99 10 0.9 10 548 29583.1 1860.01 
/home/joaoweissmann/Documents/repos/DRSP-B/1_gerador_instancias_sinteticas/instancias/30p_2s_28dt.dat ILS_ada 1 1 1 0.99 14 13 28 58 1 0 10 0.95 10 1 0.99 10 0.9 10 458 28640.9 1803.59 
