40 3541.69 0 1680 28 60
[5259.37, 5250.52, 517.56, 5310.92, 9553.42, 4104.0, 6151.15, 9758.88, 3815.25, 6107.65, 1357.75, 4784.96, 5011.61, 3815.51, 4834.93, 7095.29, 4028.95, 8288.85, 1762.35, 7550.39, 5176.64, 8292.81, 3019.43, 3814.69, 8139.73, 4054.11, 9658.02, 787.55, 1356.37, 7186.36, 9484.59, 3864.88, 1528.44, 1812.3, 8023.37, 2987.15, 4920.13, 5859.41, 744.41, 2733.58]
[4407.41, 5334.75, 5248.46, 7964.48, 2020.99, 5000.65, 4661.2, 6670.28, 5454.77, 4791.43, 4880.97, 7828.3, 7779.04, 7965.55, 3869.94, 6072.37, 5483.74, 5036.78, 5370.7, 4024.31, 4058.05, 2558.5, 5484.97, 5404.06, 7181.39, 3240.76, 2870.88, 3078.42, 2472.9, 2981.11, 3222.88, 3734.62, 6667.65, 2740.69, 5622.61, 6119.3, 7790.93, 5534.62, 3960.87, 7448.31]
[5, 5, 1, 5, 9, 4, 6, 9, 4, 6, 2, 5, 5, 4, 5, 7, 4, 8, 2, 7, 5, 8, 3, 4, 8, 4, 9, 1, 2, 7, 9, 4, 2, 2, 8, 3, 5, 6, 1, 3]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]
[1, 1, 3, 1, 2, 3, 3, 2, 3, 3, 1, 1, 1, 3, 1, 2, 3, 2, 1, 2, 1, 2, 1, 3, 2, 3, 2, 3, 1, 2, 2, 3, 1, 1, 2, 1, 1, 3, 3, 1]
[2, 2, 3, 2, 1, 3, 3, 1, 3, 3, 1, 2, 2, 3, 2, 1, 3, 1, 1, 1, 2, 1, 2, 3, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 2, 2, 3, 3, 2]
[2, 3, 1, 2, 1, 1, 1, 2, 3, 7, 10, 9, 3, 2, 5, 10, 3, 9, 3, 1, 3, 6, 10, 6, 10, 5, 9, 8, 10, 9, 10, 10, 2, 7, 5, 5, 8, 7, 5, 1]
[2456.93, 1119.36, 3040.32, 2446.12, 3865.62, 3175.49, 2848.72, 2775.15, 1134.92, 3190.49, 4289.83, 2915.99, 1130.18, 2698.7, 3202.16, 4374.9, 1133.63, 3736.43, 1130.87, 3849.65, 1117.66, 3938.2, 4278.09, 3874.11, 4303.26, 3120.14, 2622.13, 1768.82, 4330.22, 4371.58, 4362.44, 4383.0, 3093.42, 3076.86, 3100.84, 2973.24, 1415.59, 3041.59, 3099.41, 3138.79]
[0.33, 0.51, 0.24, 0.19, 0.03, 0.21, 0.27, 0.18, 0.69, 0.28, 0.94, 0.82, 0.72, 0.29, 0.06, 0.87, 0.71, 0.81, 0.55, 0.28, 0.79, 0.25, 0.86, 0.06, 0.92, 0.11, 0.84, 0.87, 0.9, 0.76, 0.82, 0.86, 0.07, 0.38, 0.48, 0.21, 0.87, 0.26, 0.65, 0.3]
[1.04, 0.76, 0.86, 0.53, 0.86, 0.78, 0.9, 0.75, 0.78, 0.5, 0.81, 0.88, 0.56, 0.62, 0.95, 0.65, 0.53, 0.89, 0.74, 0.93, 0.75, 0.65, 0.94, 0.89, 0.8, 0.66, 0.5, 0.78, 0.92, 0.83, 1.04, 1.0, 0.69, 1.03, 1.06, 0.76, 0.76, 0.51, 0.53, 1.02]
[0.85, 0.71, 0.86, 0.51, 0.56, 0.61, 0.72, 1.03, 1.0, 1.03, 1.05, 0.91, 0.54, 0.74, 0.79, 0.77, 0.63, 0.95, 0.53, 0.82, 1.01, 0.97, 0.7, 0.52, 0.62, 1.04, 1.01, 0.53, 0.98, 0.81, 0.69, 1.02, 0.55, 0.71, 0.6, 0.62, 0.79, 1.06, 0.52, 0.86]
[0.97, 0.61, 1.06, 0.64, 0.87, 1.03, 0.85, 1.06, 0.54, 0.77, 1.03, 0.8, 0.89, 0.9, 0.93, 1.06, 0.9, 0.91, 0.7, 0.63, 0.98, 0.76, 0.58, 0.81, 0.86, 0.83, 0.59, 0.55, 0.61, 0.52, 1.06, 0.79, 0.77, 0.73, 1.04, 0.86, 0.67, 0.75, 0.57, 0.65]
[0.5, 0.86, 0.61, 0.78, 0.51, 0.84, 0.65, 0.79, 0.64, 1.04, 0.97, 1.07, 0.79, 0.5, 0.75, 0.78, 0.59, 0.65, 0.87, 0.83, 0.51, 0.54, 0.87, 1.01, 0.95, 0.75, 0.53, 0.65, 1.05, 0.83, 0.71, 0.53, 0.59, 0.8, 0.55, 0.64, 0.74, 0.98, 0.89, 0.83]
[0.77, 0.85, 1.02, 0.98, 0.61, 1.05, 0.64, 0.63, 0.96, 0.84, 0.87, 1.0, 0.54, 1.03, 0.67, 0.65, 0.91, 0.97, 0.98, 1.07, 0.66, 0.92, 0.79, 1.0, 0.88, 0.57, 0.68, 0.74, 1.06, 0.55, 0.73, 0.82, 0.6, 0.94, 1.03, 0.85, 0.52, 0.55, 0.57, 1.06]
[0.33, 0.24, 0.49, 0.13, 0.13, 0.44, 0.23, 0.4, 0.26, 0.35, 0.73, 0.68, 0.12, 0.22, 0.35, 0.27, 0.16, 0.49, 0.23, 0.43, 0.25, 0.24, 0.26, 0.38, 0.36, 0.25, 0.11, 0.11, 0.62, 0.16, 0.39, 0.35, 0.1, 0.4, 0.37, 0.22, 0.15, 0.22, 0.08, 0.5]
[253.01, 452.53, 380.08, 355.97, 210.15, 370.73, 323.59, 334.19, 643.08, 63.15, 1095.12, 547.02, 672.22, 352.52, 217.42, 862.89, 841.16, 753.93, 393.59, 296.36, 690.89, 202.24, 775.5, 254.77, 664.53, 313.84, 709.28, 180.05, 849.99, 554.27, 694.68, 942.19, 220.73, 84.39, 696.48, 352.2, 211.0, 59.44, 239.18, 399.46]
[84.82, 98.12, 186.11, 52.35, 25.33, 165.67, 72.98, 126.0, 162.49, 22.16, 772.0, 364.71, 81.32, 74.34, 75.32, 232.08, 107.11, 360.05, 87.03, 117.12, 160.25, 45.3, 176.71, 95.26, 250.01, 81.11, 80.63, 20.68, 533.71, 82.84, 275.22, 330.75, 23.7, 34.7, 255.02, 76.4, 34.3, 13.07, 23.73, 202.12]
[765.05, 1762.64, 1400.41, 1279.86, 550.77, 1353.66, 1117.95, 1170.95, 2715.41, -184.27, 4975.62, 2235.12, 2861.09, 1262.59, 587.11, 3814.44, 3705.79, 3269.63, 1467.97, 981.82, 2954.47, 511.2, 3377.48, 773.83, 2822.67, 1069.2, 3046.39, 400.23, 3749.94, 2271.34, 2973.39, 4210.93, 603.65, -78.04, 2982.42, 1260.99, 555.0, -202.78, 695.89, 1497.29]
[-75.9, -9.4, 430.53, -238.27, -373.34, 328.34, -135.11, 130.01, 312.45, -389.22, 3360.0, 1323.53, -93.39, -128.29, -123.39, 660.41, 35.54, 1300.25, -64.83, 85.62, 301.27, -273.52, 383.57, -23.68, 750.06, -94.46, -96.83, -396.6, 2168.54, -85.82, 876.09, 1153.74, -381.51, -326.51, 775.11, -118.01, -328.49, -434.65, -381.36, 510.58]
[49.14, 22.39, 121.61, 48.92, 115.97, 127.02, 113.95, 83.25, 45.4, 127.62, 85.8, 58.32, 22.6, 107.95, 64.04, 131.25, 45.35, 112.09, 22.62, 115.49, 22.35, 118.15, 85.56, 154.96, 129.1, 124.81, 78.66, 70.75, 86.6, 131.15, 130.87, 175.32, 61.87, 61.54, 93.03, 59.46, 28.31, 121.66, 123.98, 62.78]
[1, 1, 6, 1, 5, 6, 6, 3, 2, 6, 3, 2, 1, 5, 2, 6, 2, 5, 1, 5, 1, 5, 3, 8, 6, 6, 3, 3, 3, 6, 6, 9, 2, 2, 4, 2, 1, 6, 6, 2]
[4, 53, 25, 44, 4, 36, 19, 35, 38, 57, 2, 3, 3, 20, 22, 44, 12, 49, 17, 40, 47, 10, 56, 44, 22, 26, 48, 55, 48, 2, 54, 22, 46, 36, 39, 56, 29, 10, 47, 21]
[60, 60, 60, 60, 22, 60, 60, 60, 60, 60, 8, 29, 26, 60, 59, 60, 41, 60, 29, 60, 60, 56, 60, 60, 59, 60, 60, 60, 60, 17, 60, 59, 60, 60, 60, 60, 60, 24, 56, 60]
10
[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
[10000.0, 10000.0, 10000.0, 0.0, 0.0, 0.0, 0.0, 10000.0, 0.0, 0.0]
