60 5291.919999999999 0 1680 1 1680
[89.39, 78.43, 81.67, 74.5, 57.5, 73.54, 91.57, 50.91, 79.63, 74.95, 47.27, 82.56, 43.05, 78.57, 8.07, 93.12, 49.27, 12.65, 82.76, 8.21, 48.3, 86.78, 16.24, 79.2, 74.05, 53.04, 48.27, 6.68, 41.5, 84.58, 87.31, 50.86, 13.23, 89.92, 14.55, 56.45, 90.74, 90.01, 15.06, 41.6, 48.25, 80.04, 44.07, 90.14, 43.17, 13.32, 18.29, 26.29, 18.61, 91.13, 85.85, 17.88, 48.1, 48.3, 83.39, 44.47, 10.58, 50.34, 88.79, 84.84]
[81.99, 80.25, 55.32, 92.32, 24.27, 74.8, 40.95, 24.11, 18.46, 59.19, 79.05, 73.49, 58.91, 59.2, 80.4, 10.85, 8.96, 49.36, 79.31, 74.41, 20.39, 48.95, 11.78, 21.99, 14.82, 43.37, 50.92, 13.33, 81.83, 49.51, 19.05, 45.25, 25.8, 74.18, 26.62, 24.14, 14.48, 85.78, 43.04, 14.23, 76.81, 25.81, 54.65, 40.21, 26.29, 11.77, 53.37, 74.66, 75.95, 51.79, 42.37, 86.92, 40.66, 79.87, 45.96, 75.12, 23.49, 42.94, 19.33, 73.4]
[9, 9, 6, 9, 2, 9, 6, 2, 3, 6, 8, 9, 5, 6, 7, 3, 2, 4, 9, 7, 2, 6, 1, 3, 3, 5, 5, 1, 8, 6, 3, 5, 1, 9, 1, 2, 3, 9, 4, 2, 8, 3, 5, 6, 2, 1, 4, 7, 7, 6, 6, 7, 5, 8, 6, 8, 1, 5, 3, 9]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]
[1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 3, 1, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 3, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 1, 2, 1, 1]
[1, 1, 2, 1, 2, 1, 2, 2, 3, 2, 1, 1, 2, 2, 1, 3, 2, 3, 1, 1, 2, 2, 1, 3, 3, 2, 2, 1, 1, 2, 3, 2, 1, 1, 1, 2, 3, 1, 3, 2, 1, 3, 2, 2, 2, 1, 3, 1, 1, 2, 2, 1, 2, 1, 2, 1, 1, 2, 3, 1]
[9, 8, 4, 6, 8, 10, 3, 4, 8, 10, 2, 2, 4, 7, 3, 6, 1, 2, 5, 3, 6, 4, 2, 10, 4, 6, 3, 1, 2, 6, 4, 2, 3, 3, 3, 10, 5, 5, 7, 9, 6, 3, 8, 2, 9, 10, 1, 8, 7, 4, 9, 6, 6, 5, 10, 10, 8, 3, 9, 7]
[2130.41, 4891.04, 4175.65, 1869.95, 4889.41, 2809.88, 2131.99, 4190.33, 4894.03, 2415.11, 4460.85, 4547.84, 4148.28, 2498.37, 1883.24, 2580.07, 4725.11, 4501.3, 4159.51, 2559.77, 2477.86, 4232.83, 4047.19, 2404.98, 4538.78, 2515.79, 2536.36, 4264.4, 4127.6, 2540.03, 4355.24, 4482.03, 2856.29, 2560.4, 2177.51, 2725.1, 3644.51, 3480.94, 2318.37, 2375.27, 2137.18, 1859.22, 4893.29, 4382.9, 2292.55, 2500.3, 4841.5, 4896.47, 2488.95, 4229.97, 2606.32, 2717.79, 1853.13, 2841.15, 2331.53, 2258.59, 4891.82, 2473.56, 2764.18, 2222.2]
[0.72, 0.59, 0.47, 0.32, 0.52, 0.29, 0.31, 0.55, 0.47, 0.52, 0.65, 0.64, 0.43, 0.87, 0.42, 0.88, 0.29, 0.59, 0.89, 0.1, 0.46, 0.39, 0.63, 0.18, 0.47, 0.72, 0.2, 0.27, 0.6, 0.66, 0.41, 0.69, 0.22, 0.1, 0.12, 0.45, 0.86, 0.9, 0.85, 0.43, 0.54, 0.36, 0.22, 0.67, 0.34, 0.17, 0.25, 0.32, 0.84, 0.74, 0.84, 0.38, 0.38, 0.75, 0.32, 0.39, 0.52, 0.09, 0.43, 0.99]
[0.85, 0.7, 0.56, 0.99, 0.91, 1.03, 0.69, 0.72, 1.06, 0.61, 1.03, 0.59, 0.89, 0.81, 0.51, 0.56, 0.95, 0.76, 0.82, 0.71, 0.93, 0.98, 0.83, 0.94, 0.95, 0.75, 1.01, 0.55, 0.62, 0.88, 0.69, 1.06, 1.05, 1.0, 0.67, 0.59, 0.93, 0.98, 0.62, 0.9, 0.64, 0.95, 0.59, 1.07, 0.6, 0.92, 1.02, 0.75, 0.83, 0.58, 0.92, 0.94, 1.06, 1.04, 0.63, 0.75, 0.99, 0.64, 0.56, 0.69]
[0.99, 0.6, 0.89, 1.07, 0.76, 0.54, 0.77, 0.91, 0.88, 0.58, 0.79, 0.81, 0.7, 0.75, 0.69, 0.9, 1.05, 0.86, 0.8, 0.69, 0.94, 0.57, 0.61, 0.78, 0.65, 0.98, 0.75, 0.84, 0.73, 0.55, 0.98, 0.83, 1.01, 0.84, 0.89, 0.57, 0.62, 0.77, 0.54, 0.94, 1.06, 0.53, 0.96, 0.84, 1.1, 0.58, 1.02, 0.68, 1.09, 0.62, 0.94, 0.59, 0.73, 0.56, 0.59, 0.76, 1.04, 0.83, 0.62, 0.81]
[0.74, 0.9, 1.1, 0.75, 0.61, 0.62, 0.85, 0.82, 1.06, 0.6, 0.61, 0.61, 0.88, 0.69, 0.78, 0.57, 0.81, 0.97, 0.67, 1.0, 0.75, 0.72, 0.99, 0.86, 0.68, 0.62, 0.88, 0.68, 0.73, 0.6, 0.52, 0.96, 0.67, 1.04, 0.54, 0.87, 1.09, 0.52, 1.05, 0.85, 0.98, 0.84, 0.57, 0.83, 0.91, 0.81, 1.05, 0.54, 0.76, 0.89, 0.52, 0.65, 0.77, 0.79, 0.57, 0.75, 1.04, 0.73, 0.73, 0.69]
[0.88, 0.59, 0.84, 0.95, 0.57, 0.51, 0.56, 0.65, 0.76, 0.6, 0.67, 1.05, 0.78, 0.86, 1.1, 1.09, 0.75, 1.06, 0.96, 0.69, 0.81, 0.71, 0.56, 0.94, 0.89, 1.04, 1.02, 0.94, 0.56, 1.07, 0.81, 0.88, 0.73, 0.81, 0.73, 0.93, 0.93, 0.65, 0.51, 0.84, 0.62, 0.72, 0.81, 1.05, 0.67, 0.86, 0.84, 0.55, 0.56, 1.01, 0.89, 0.54, 0.91, 0.53, 1.05, 0.71, 0.75, 0.76, 0.86, 0.83]
[0.51, 0.65, 0.79, 0.72, 0.92, 0.69, 0.95, 0.77, 0.79, 1.08, 0.71, 1.0, 0.93, 1.0, 0.76, 0.86, 0.91, 0.62, 1.05, 0.7, 0.88, 0.54, 1.07, 0.57, 0.74, 0.74, 0.99, 0.72, 0.82, 0.85, 0.96, 0.82, 0.72, 0.78, 0.52, 1.08, 1.0, 0.94, 0.78, 0.88, 0.67, 0.66, 0.7, 0.66, 0.83, 1.1, 0.8, 0.67, 0.99, 0.96, 0.68, 0.86, 0.74, 0.54, 0.59, 0.9, 0.83, 0.89, 1.03, 0.85]
[0.28, 0.14, 0.36, 0.55, 0.22, 0.12, 0.24, 0.27, 0.6, 0.14, 0.24, 0.31, 0.4, 0.36, 0.23, 0.27, 0.54, 0.42, 0.45, 0.24, 0.47, 0.15, 0.31, 0.34, 0.28, 0.35, 0.68, 0.21, 0.15, 0.27, 0.27, 0.61, 0.37, 0.55, 0.12, 0.29, 0.59, 0.24, 0.14, 0.53, 0.28, 0.2, 0.18, 0.51, 0.34, 0.41, 0.74, 0.1, 0.38, 0.3, 0.27, 0.17, 0.4, 0.13, 0.13, 0.28, 0.67, 0.26, 0.22, 0.27]
