80 2962.265000000001 0 1680 1 1680
[15.34, 58.92, 79.23, 85.06, 81.82, 53.94, 41.93, 54.46, 90.22, 44.98, 89.36, 52.57, 55.54, 78.84, 79.35, 45.38, 81.0, 90.71, 53.28, 77.07, 23.96, 14.01, 54.35, 55.62, 78.62, 91.81, 79.31, 7.27, 40.53, 8.86, 24.31, 17.57, 90.37, 80.24, 26.28, 89.14, 12.71, 74.0, 9.3, 87.62, 58.5, 76.9, 18.61, 85.37, 73.64, 52.62, 22.62, 58.0, 18.41, 76.85, 56.67, 45.1, 84.18, 50.51, 82.54, 82.93, 51.68, 59.8, 19.82, 82.87, 81.0, 51.0, 24.65, 8.24, 78.91, 16.11, 20.19, 22.93, 79.85, 93.32, 44.96, 84.89, 7.96, 49.92, 57.04, 86.18, 7.05, 57.57, 18.63, 25.45]
[14.63, 9.76, 82.43, 79.13, 76.25, 90.88, 42.6, 17.29, 44.16, 85.49, 9.57, 55.49, 14.13, 24.46, 40.99, 59.05, 77.28, 89.54, 56.4, 79.21, 7.36, 16.12, 78.22, 10.91, 10.17, 57.18, 45.93, 47.28, 40.1, 50.58, 81.3, 12.5, 42.29, 93.14, 50.57, 78.76, 54.56, 54.63, 24.11, 46.48, 25.25, 86.64, 74.75, 45.03, 73.54, 16.14, 83.43, 21.5, 14.97, 88.42, 91.67, 52.56, 40.74, 58.29, 21.59, 13.2, 13.88, 16.24, 19.84, 47.85, 20.74, 55.48, 81.93, 41.1, 57.8, 83.42, 22.45, 92.63, 15.52, 78.63, 8.36, 53.65, 8.56, 40.53, 90.46, 25.48, 47.85, 54.94, 19.48, 50.83]
[1, 2, 9, 9, 9, 8, 5, 2, 6, 8, 3, 5, 2, 3, 6, 5, 9, 9, 5, 9, 1, 1, 8, 2, 3, 6, 6, 4, 5, 4, 7, 1, 6, 9, 4, 9, 4, 6, 1, 6, 2, 9, 7, 6, 9, 2, 7, 2, 1, 9, 8, 5, 6, 5, 3, 3, 2, 2, 1, 6, 3, 5, 7, 4, 6, 7, 1, 7, 3, 9, 2, 6, 1, 5, 8, 3, 4, 5, 1, 4]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80]
[1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2]
[1, 3, 2, 2, 2, 1, 3, 3, 2, 1, 3, 3, 3, 3, 2, 3, 2, 2, 3, 2, 1, 1, 1, 3, 3, 2, 2, 1, 3, 1, 3, 1, 2, 2, 1, 2, 1, 2, 1, 2, 3, 2, 3, 2, 2, 3, 3, 3, 1, 2, 1, 3, 2, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 1, 2, 3, 1, 3, 3, 2, 3, 2, 1, 3, 1, 3, 1, 3, 1, 1]
[2, 4, 9, 7, 2, 10, 3, 10, 8, 9, 6, 2, 10, 4, 7, 3, 4, 9, 7, 7, 1, 2, 9, 10, 7, 6, 4, 2, 6, 6, 4, 3, 1, 5, 8, 1, 5, 5, 5, 7, 7, 4, 9, 2, 1, 5, 3, 1, 1, 9, 4, 1, 10, 3, 4, 6, 3, 8, 3, 7, 2, 4, 8, 1, 8, 9, 10, 7, 6, 1, 1, 9, 8, 10, 8, 1, 2, 2, 10, 7]
[3901.28, 3906.89, 3933.1, 1403.15, 4433.43, 2470.75, 3835.4, 2161.43, 3258.57, 3851.52, 2065.74, 3432.54, 2270.79, 3762.12, 1606.56, 3584.94, 3718.5, 3953.29, 1284.96, 1548.41, 2685.44, 4418.19, 3949.9, 2542.27, 1472.43, 4343.51, 3715.14, 3945.46, 1439.27, 3340.11, 3723.53, 3772.75, 2685.17, 2508.62, 3322.42, 2685.22, 2690.28, 2738.88, 2644.95, 1435.3, 1262.88, 3796.39, 3965.7, 4441.78, 2685.18, 2926.78, 4085.23, 2685.33, 2685.3, 3775.49, 3815.94, 2685.47, 2089.73, 3621.89, 3833.65, 3236.69, 3738.64, 2596.74, 4133.52, 1479.82, 4819.97, 3957.86, 2844.25, 2685.34, 2747.5, 3964.85, 2129.34, 1511.52, 1103.84, 2685.36, 2685.38, 3842.36, 2674.84, 2331.37, 3340.01, 2685.36, 4138.19, 3506.36, 2158.12, 1265.81]
[0.12, 0.43, 0.59, 0.51, 0.23, 0.32, 0.76, 0.35, 0.45, 0.48, 0.5, 0.19, 0.37, 0.22, 0.46, 0.81, 0.29, 0.63, 0.51, 0.38, 0.44, 0.32, 0.43, 0.24, 0.41, 0.43, 0.28, 0.4, 0.24, 0.56, 0.35, 0.88, 0.29, 0.69, 0.49, 0.39, 0.78, 0.5, 0.66, 0.5, 0.52, 0.26, 0.41, 0.12, 0.44, 0.57, 0.9, 0.31, 0.47, 0.52, 0.29, 0.45, 0.27, 0.91, 0.2, 0.31, 0.97, 0.55, 0.73, 0.57, 0.36, 0.48, 0.75, 0.3, 0.8, 0.66, 0.5, 0.57, 0.11, 0.37, 0.36, 0.45, 0.53, 0.43, 0.75, 0.3, 0.1, 0.15, 0.39, 0.3]
[1.02, 0.51, 0.87, 0.95, 0.69, 0.97, 0.64, 0.56, 0.51, 0.6, 0.88, 0.77, 0.83, 0.69, 0.5, 0.58, 0.79, 0.57, 0.97, 0.51, 0.55, 0.53, 0.78, 0.88, 1.04, 0.85, 0.89, 1.0, 0.72, 0.54, 0.93, 0.93, 0.76, 0.87, 0.98, 0.86, 0.71, 0.62, 1.09, 0.55, 1.01, 0.91, 1.03, 0.93, 0.9, 1.06, 0.84, 0.63, 0.57, 0.56, 0.84, 0.82, 0.85, 0.52, 0.99, 0.79, 0.67, 0.82, 0.83, 0.61, 0.92, 0.53, 0.79, 1.1, 0.75, 0.87, 0.87, 1.09, 0.54, 0.9, 0.98, 0.99, 0.63, 0.66, 0.75, 0.8, 0.55, 1.07, 0.68, 0.89]
[0.63, 0.67, 0.55, 0.84, 0.5, 1.01, 1.01, 0.64, 1.09, 1.05, 0.82, 0.97, 0.53, 0.52, 1.0, 1.06, 0.81, 0.63, 0.99, 0.74, 0.95, 0.62, 0.92, 0.53, 0.98, 0.62, 0.57, 0.78, 0.58, 1.03, 0.77, 0.62, 0.64, 1.05, 1.09, 0.58, 0.92, 0.74, 0.68, 0.65, 0.97, 0.82, 1.04, 0.89, 0.67, 1.02, 1.02, 0.65, 0.64, 0.96, 0.72, 0.93, 0.59, 0.95, 0.83, 0.58, 0.79, 0.84, 0.97, 0.84, 0.66, 0.86, 0.83, 0.96, 0.63, 0.96, 0.73, 1.1, 1.06, 0.65, 0.85, 0.7, 0.89, 0.56, 0.85, 0.73, 0.87, 0.85, 1.0, 0.88]
[0.69, 0.98, 0.8, 0.59, 0.61, 1.06, 0.95, 1.07, 0.51, 0.98, 1.04, 0.91, 0.64, 0.73, 0.5, 0.95, 0.86, 0.76, 0.63, 0.55, 0.58, 0.68, 0.8, 0.73, 1.0, 1.06, 0.6, 0.6, 0.54, 0.65, 1.07, 0.76, 0.61, 0.96, 0.87, 0.54, 0.63, 0.75, 0.72, 1.03, 0.74, 0.87, 1.04, 0.59, 0.97, 0.62, 0.64, 0.82, 0.6, 0.53, 0.55, 0.86, 1.0, 0.64, 0.7, 1.04, 0.67, 0.98, 0.73, 0.75, 0.76, 0.82, 0.54, 0.73, 0.91, 1.06, 0.59, 1.0, 0.89, 0.54, 0.81, 1.07, 1.07, 0.74, 0.77, 0.84, 0.67, 0.57, 0.5, 1.01]
[0.6, 0.8, 0.68, 0.5, 1.01, 1.08, 0.69, 0.84, 0.75, 0.57, 0.88, 0.74, 0.94, 0.59, 0.82, 0.98, 0.88, 0.63, 0.5, 0.6, 1.01, 0.52, 0.69, 0.68, 1.07, 0.63, 1.04, 0.68, 0.87, 1.06, 0.92, 0.87, 1.06, 0.53, 0.78, 0.59, 0.84, 1.06, 1.09, 1.02, 1.06, 1.07, 0.7, 0.54, 0.65, 0.98, 0.53, 0.62, 0.91, 0.97, 0.7, 0.54, 0.65, 0.71, 0.77, 0.62, 1.1, 0.69, 0.73, 0.77, 0.68, 1.08, 1.02, 0.59, 0.74, 1.1, 0.7, 1.09, 1.0, 0.86, 0.99, 0.9, 1.06, 0.92, 0.78, 0.91, 0.76, 0.78, 1.08, 1.09]
[0.68, 0.68, 0.56, 0.82, 0.63, 0.65, 0.8, 0.8, 0.81, 0.77, 1.1, 0.84, 1.02, 0.78, 1.1, 0.59, 0.54, 1.09, 1.07, 0.86, 0.54, 0.77, 1.05, 0.85, 1.05, 0.66, 0.53, 0.76, 0.8, 0.73, 0.72, 0.87, 0.58, 0.7, 0.92, 0.93, 0.92, 0.7, 0.57, 1.04, 1.04, 0.97, 0.92, 0.54, 0.67, 0.52, 1.03, 0.75, 0.58, 0.55, 0.51, 1.06, 0.89, 0.77, 0.62, 0.55, 0.9, 0.84, 0.63, 0.76, 0.87, 0.87, 0.72, 0.95, 0.92, 0.93, 1.09, 0.65, 0.64, 1.05, 0.86, 0.56, 0.51, 0.69, 0.81, 0.87, 1.09, 0.63, 0.86, 0.91]
