90 8756.619999999999 0 1680 1 1680
[74.27, 7.03, 59.82, 77.68, 74.07, 45.24, 21.76, 14.59, 54.62, 49.3, 17.01, 17.75, 93.08, 22.88, 82.6, 10.87, 16.43, 87.63, 58.15, 52.1, 41.87, 22.43, 55.63, 12.38, 85.64, 87.56, 26.54, 7.98, 57.67, 85.41, 81.51, 86.03, 55.9, 13.96, 78.69, 7.19, 49.05, 74.94, 49.3, 46.88, 17.62, 92.29, 21.48, 88.07, 51.07, 84.17, 17.31, 43.61, 47.18, 16.73, 21.99, 57.69, 81.77, 88.49, 24.25, 58.69, 23.59, 92.74, 12.37, 85.34, 24.59, 80.86, 89.81, 84.43, 77.91, 46.62, 86.36, 85.32, 43.63, 87.62, 7.18, 13.73, 78.02, 91.91, 79.18, 57.22, 91.56, 82.46, 50.86, 47.65, 51.46, 43.35, 47.74, 84.68, 53.46, 79.24, 92.12, 23.93, 47.5, 58.39]
[88.16, 46.48, 48.5, 59.04, 9.38, 47.38, 9.83, 41.38, 47.05, 53.52, 7.1, 17.78, 9.49, 75.18, 89.83, 17.27, 55.09, 85.2, 91.85, 20.37, 46.18, 20.73, 25.33, 58.97, 7.09, 73.83, 45.42, 16.18, 86.3, 84.89, 50.98, 87.61, 79.34, 85.69, 46.71, 74.73, 88.32, 81.41, 42.87, 43.13, 18.87, 91.75, 13.44, 45.82, 43.71, 49.34, 15.29, 16.72, 25.54, 90.77, 91.51, 85.75, 20.46, 58.99, 52.61, 81.52, 92.95, 23.51, 19.82, 44.63, 8.7, 24.5, 49.11, 45.86, 74.36, 87.57, 56.42, 43.63, 43.23, 79.64, 43.46, 92.13, 75.44, 51.98, 50.33, 87.39, 73.75, 53.59, 42.38, 15.64, 56.81, 50.31, 74.55, 40.5, 80.04, 41.56, 45.94, 7.39, 12.89, 42.69]
[9, 4, 5, 6, 3, 5, 1, 4, 5, 5, 1, 1, 3, 7, 9, 1, 4, 9, 8, 2, 5, 1, 2, 4, 3, 9, 4, 1, 8, 9, 6, 9, 8, 7, 6, 7, 8, 9, 5, 5, 1, 9, 1, 6, 5, 6, 1, 2, 2, 7, 7, 8, 3, 6, 4, 8, 7, 3, 1, 6, 1, 3, 6, 6, 9, 8, 6, 6, 5, 9, 4, 7, 9, 6, 6, 8, 9, 6, 5, 2, 5, 5, 8, 6, 8, 6, 6, 1, 2, 5]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]
[2, 3, 3, 3, 1, 3, 2, 3, 3, 3, 2, 2, 1, 2, 2, 2, 3, 2, 1, 2, 3, 2, 2, 3, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 1, 2, 3, 3, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 3, 3, 1, 2, 1, 2, 3, 2, 1, 3, 3, 2, 1, 3, 3, 3, 2, 3, 2, 2, 3, 3, 1, 2, 3, 3, 2, 3, 3, 1, 3, 1, 3, 3, 2, 2, 3]
[3, 2, 2, 1, 3, 2, 3, 2, 2, 2, 3, 3, 3, 2, 3, 3, 2, 3, 1, 3, 2, 3, 3, 2, 3, 3, 2, 3, 1, 3, 1, 3, 1, 2, 1, 2, 1, 3, 2, 2, 3, 3, 3, 1, 2, 1, 3, 3, 3, 2, 2, 1, 3, 1, 2, 1, 2, 3, 3, 1, 3, 3, 1, 1, 3, 1, 1, 1, 2, 3, 2, 2, 3, 1, 1, 1, 3, 1, 2, 3, 2, 2, 1, 1, 1, 1, 1, 3, 3, 2]
[4, 4, 2, 6, 6, 4, 5, 7, 8, 1, 5, 3, 2, 8, 4, 10, 10, 1, 9, 9, 5, 3, 8, 2, 8, 4, 2, 2, 7, 2, 9, 5, 1, 10, 10, 8, 4, 10, 7, 10, 5, 4, 7, 2, 8, 1, 1, 10, 9, 1, 4, 3, 6, 3, 5, 8, 3, 6, 7, 8, 5, 1, 6, 9, 1, 6, 8, 3, 6, 10, 1, 5, 7, 2, 8, 5, 1, 5, 6, 5, 7, 9, 5, 1, 10, 1, 9, 10, 6, 6]
[2305.31, 2314.84, 1320.82, 3736.59, 3696.04, 2311.83, 1470.34, 3019.11, 4671.46, 1879.54, 1801.69, 3081.73, 2492.96, 4446.52, 2325.37, 2533.62, 2420.79, 4387.83, 3105.66, 2700.14, 2982.99, 3515.98, 4551.28, 1840.08, 4657.59, 2310.53, 2473.68, 1665.23, 3287.52, 1602.09, 3157.7, 2924.73, 2860.41, 3318.95, 1759.14, 4605.22, 2301.24, 2766.8, 1351.34, 2984.29, 4019.84, 2309.34, 3010.56, 1626.65, 4501.74, 3092.94, 2681.72, 1876.55, 2375.8, 2679.0, 2319.66, 3241.35, 3733.8, 3240.88, 2981.73, 4511.55, 3386.44, 3758.1, 3423.02, 4689.3, 1698.94, 3241.93, 3797.8, 2762.94, 3108.68, 3672.45, 4562.05, 3222.79, 3631.95, 3295.14, 3576.43, 2810.26, 2783.37, 1535.38, 4502.59, 4281.25, 3526.06, 4105.8, 3716.79, 1985.37, 1770.09, 2347.93, 2950.23, 3923.42, 2301.4, 3236.43, 3218.17, 3090.87, 3776.7, 3747.95]
[0.83, 0.82, 0.98, 0.58, 0.6, 0.84, 0.17, 0.62, 0.62, 0.29, 0.53, 0.46, 0.73, 0.82, 0.84, 0.18, 0.31, 0.27, 0.63, 0.59, 0.85, 0.44, 0.95, 0.79, 0.84, 0.84, 0.85, 0.89, 0.85, 0.97, 0.68, 0.38, 0.39, 0.54, 0.62, 0.85, 0.85, 0.15, 0.68, 0.46, 0.37, 0.85, 0.77, 0.84, 0.7, 0.25, 0.29, 0.35, 0.67, 0.33, 0.83, 0.64, 0.69, 0.42, 0.44, 0.88, 0.45, 0.68, 0.74, 0.64, 0.45, 0.25, 0.55, 0.56, 0.36, 0.68, 0.76, 0.37, 0.62, 0.17, 0.31, 0.24, 0.98, 0.7, 0.66, 0.16, 0.27, 0.44, 0.68, 0.19, 0.97, 0.72, 0.58, 0.32, 0.48, 0.32, 0.64, 0.59, 0.73, 0.52]
[0.5, 1.01, 1.03, 1.06, 0.82, 0.84, 1.05, 0.62, 1.04, 0.98, 0.83, 0.57, 0.91, 0.75, 0.99, 0.63, 0.83, 0.67, 0.81, 0.95, 1.02, 1.0, 0.82, 1.06, 0.73, 0.5, 0.7, 0.73, 0.99, 0.94, 0.82, 0.65, 1.1, 0.72, 1.1, 0.77, 0.74, 0.82, 1.03, 0.79, 0.52, 1.09, 0.72, 1.01, 1.06, 1.1, 0.76, 0.82, 0.93, 0.51, 0.93, 0.51, 0.75, 0.73, 0.91, 0.62, 1.07, 0.59, 1.03, 1.06, 0.7, 0.56, 1.01, 0.83, 0.56, 0.79, 0.54, 0.63, 0.99, 0.74, 0.82, 0.97, 1.02, 0.86, 0.78, 0.93, 0.69, 0.65, 0.93, 0.56, 0.67, 0.88, 1.08, 0.92, 0.83, 0.78, 0.78, 0.55, 0.9, 0.99]
