110 10189.119999999999 0 1680 28 60
[13.9, 42.99, 43.92, 82.46, 91.52, 12.77, 77.94, 47.89, 85.29, 48.96, 11.03, 43.62, 88.53, 80.85, 59.64, 89.77, 19.69, 25.28, 53.46, 56.11, 59.8, 26.0, 20.79, 77.19, 86.85, 79.16, 43.65, 44.93, 24.18, 7.56, 53.02, 81.0, 42.82, 76.42, 22.45, 82.59, 50.6, 45.73, 21.28, 84.92, 8.79, 45.07, 25.83, 44.08, 83.49, 78.78, 53.94, 88.31, 6.9, 82.32, 18.62, 19.16, 59.4, 85.55, 53.23, 58.46, 91.17, 48.11, 56.81, 12.56, 82.92, 82.29, 21.66, 55.94, 40.24, 86.39, 56.89, 46.47, 45.82, 23.67, 43.02, 56.85, 81.38, 76.34, 19.94, 53.17, 14.14, 58.25, 57.18, 44.8, 47.16, 12.52, 40.14, 40.81, 21.62, 74.5, 17.17, 41.25, 58.82, 87.59, 52.76, 41.85, 7.62, 13.72, 50.89, 44.42, 9.79, 22.25, 24.76, 13.33, 91.55, 40.4, 84.79, 57.21, 52.33, 89.29, 15.14, 54.96, 42.48, 10.57]
[13.13, 78.33, 45.38, 8.66, 85.37, 91.36, 84.64, 81.05, 12.48, 81.36, 20.88, 40.02, 87.89, 84.3, 24.13, 44.71, 73.67, 19.07, 79.66, 24.49, 8.44, 40.82, 86.93, 73.39, 81.05, 14.55, 73.92, 79.21, 17.98, 40.52, 40.95, 26.21, 54.43, 81.41, 76.49, 41.31, 21.49, 90.08, 74.98, 86.43, 82.6, 41.92, 84.36, 6.85, 24.43, 43.17, 50.43, 51.06, 57.75, 59.89, 40.88, 87.72, 21.61, 17.9, 10.34, 85.32, 13.46, 9.71, 9.17, 83.6, 40.41, 87.52, 19.59, 73.78, 81.06, 88.82, 15.78, 73.87, 76.23, 42.11, 59.52, 77.63, 54.39, 81.98, 49.61, 16.6, 22.75, 84.51, 81.22, 87.36, 16.89, 84.12, 77.06, 40.87, 48.67, 44.84, 45.57, 23.62, 80.42, 43.63, 43.68, 83.39, 7.79, 13.11, 54.06, 59.69, 52.16, 40.27, 20.28, 78.53, 76.38, 16.69, 44.76, 55.2, 47.04, 92.37, 17.94, 53.55, 86.01, 20.56]
[1, 8, 5, 3, 9, 7, 9, 8, 3, 8, 1, 5, 9, 9, 2, 6, 7, 1, 8, 2, 2, 4, 7, 9, 9, 3, 8, 8, 1, 4, 5, 3, 5, 9, 7, 6, 2, 8, 7, 9, 7, 5, 7, 2, 3, 6, 5, 6, 4, 6, 4, 7, 2, 3, 2, 8, 3, 2, 2, 7, 6, 9, 1, 8, 8, 9, 2, 8, 8, 4, 5, 8, 6, 9, 4, 2, 1, 8, 8, 8, 2, 7, 8, 5, 4, 6, 4, 2, 8, 6, 5, 8, 1, 1, 5, 5, 4, 4, 1, 7, 9, 2, 6, 5, 5, 9, 1, 5, 8, 1]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110]
[3, 1, 1, 2, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 1, 2, 1, 1, 3, 3, 1, 2, 1, 1, 3, 3, 3, 1, 3, 1, 3, 1, 3, 3, 2, 3, 1, 3, 3, 3, 3, 3, 3, 2, 3, 1, 2, 3, 3, 3, 3, 1, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 3, 1, 3, 3, 3, 1, 1, 1, 3, 3, 1, 1, 3, 3, 3, 3, 1, 3, 1, 1, 3, 3, 1, 1, 3, 3, 3, 3, 1, 3, 3, 1, 1, 1, 3, 1, 1, 3]
[1, 3, 1, 1, 2, 3, 2, 3, 1, 3, 1, 1, 2, 2, 2, 1, 3, 1, 3, 2, 2, 3, 3, 2, 2, 1, 3, 3, 1, 3, 1, 1, 1, 2, 3, 1, 2, 3, 3, 2, 3, 1, 3, 2, 1, 1, 1, 1, 3, 1, 3, 3, 2, 1, 2, 3, 1, 2, 2, 3, 1, 2, 1, 3, 3, 2, 2, 3, 3, 3, 1, 3, 1, 2, 3, 2, 1, 3, 3, 3, 2, 3, 3, 1, 3, 1, 3, 2, 3, 1, 1, 3, 1, 1, 1, 1, 3, 3, 1, 3, 2, 2, 1, 1, 1, 2, 1, 1, 3, 1]
[3, 10, 8, 3, 4, 3, 1, 5, 7, 1, 2, 6, 4, 8, 5, 8, 5, 1, 3, 1, 5, 9, 3, 3, 3, 4, 1, 5, 4, 10, 10, 1, 3, 1, 4, 8, 1, 1, 8, 5, 7, 4, 7, 3, 9, 9, 8, 1, 1, 1, 5, 9, 1, 7, 10, 2, 2, 2, 3, 2, 3, 10, 6, 6, 8, 7, 1, 4, 1, 9, 7, 9, 5, 1, 6, 4, 6, 6, 4, 1, 6, 3, 4, 1, 8, 5, 3, 4, 5, 9, 1, 7, 10, 6, 10, 9, 1, 5, 9, 5, 7, 1, 7, 7, 2, 3, 10, 10, 4, 3]
[2729.39, 2949.32, 1619.91, 3374.7, 3672.81, 2919.15, 3219.65, 3487.5, 2784.73, 2222.18, 3178.18, 1952.21, 3582.11, 3537.14, 3253.42, 2829.91, 3114.18, 2361.73, 2718.01, 3172.03, 3405.79, 3473.08, 2778.02, 2661.44, 2976.63, 3535.45, 3123.82, 3194.66, 3690.42, 3298.59, 3439.77, 2458.95, 3521.0, 2177.94, 3573.59, 2496.21, 2546.82, 2712.45, 3039.45, 3078.28, 2400.35, 3564.69, 2427.65, 2924.63, 3447.84, 3452.56, 2228.81, 2277.89, 2679.18, 3149.26, 3285.94, 3483.93, 3070.69, 2598.8, 3664.09, 3072.42, 3219.41, 2675.74, 3640.3, 3671.91, 2384.08, 3792.08, 1995.3, 1690.75, 2622.11, 2755.31, 3401.6, 3622.61, 3599.65, 3521.3, 3050.25, 3493.42, 3042.45, 3475.32, 1999.47, 3651.97, 1786.49, 1750.09, 3580.45, 3255.63, 1948.51, 3668.5, 3750.16, 2537.6, 2571.14, 3446.03, 2786.05, 3566.66, 3030.26, 3589.4, 3209.72, 3208.64, 3556.6, 1719.87, 4110.82, 3572.18, 2746.15, 3436.82, 3618.0, 3111.14, 2377.92, 2856.06, 3163.09, 2433.51, 2695.98, 2328.23, 2917.43, 3091.24, 3597.53, 2842.83]
[0.36, 0.34, 0.55, 0.67, 0.53, 0.82, 0.97, 0.23, 0.51, 0.91, 0.28, 0.24, 0.48, 0.72, 0.28, 0.73, 0.89, 0.95, 0.38, 0.96, 0.93, 0.5, 0.45, 0.59, 0.82, 0.15, 0.91, 0.16, 0.18, 0.33, 0.34, 0.97, 0.65, 0.96, 0.28, 0.68, 0.93, 0.95, 0.58, 0.14, 0.36, 0.1, 0.5, 0.53, 0.36, 0.56, 0.63, 0.94, 0.91, 0.95, 0.63, 0.51, 0.96, 0.36, 0.34, 0.8, 0.79, 0.97, 0.88, 0.9, 0.91, 0.34, 0.37, 0.29, 0.7, 0.29, 0.92, 0.19, 0.97, 0.37, 0.41, 0.54, 0.22, 0.93, 0.21, 0.63, 0.43, 0.4, 0.3, 0.92, 0.33, 0.61, 0.19, 0.94, 0.54, 0.88, 0.67, 0.6, 0.94, 0.14, 0.92, 0.32, 0.35, 0.35, 0.33, 0.4, 0.97, 0.87, 0.23, 0.51, 0.51, 0.95, 0.32, 0.31, 0.56, 0.83, 0.35, 0.35, 0.44, 0.42]
[0.91, 0.98, 0.96, 0.91, 0.88, 0.95, 0.95, 0.79, 0.94, 0.72, 1.01, 0.94, 0.62, 0.72, 0.65, 0.7, 0.77, 0.81, 0.63, 1.08, 0.64, 0.68, 0.81, 0.8, 0.72, 0.68, 0.83, 0.72, 0.79, 0.91, 0.9, 0.63, 0.98, 1.05, 0.93, 0.53, 0.52, 0.93, 0.61, 0.74, 0.98, 0.92, 0.84, 1.07, 0.54, 0.71, 1.05, 0.82, 0.59, 0.75, 0.74, 1.07, 0.72, 1.0, 0.73, 0.87, 0.68, 0.98, 0.93, 1.09, 1.06, 1.04, 1.03, 0.87, 0.71, 0.55, 0.56, 0.95, 0.51, 0.66, 0.84, 1.07, 0.5, 0.93, 1.1, 0.97, 0.91, 1.02, 0.54, 0.55, 0.59, 0.78, 0.66, 1.08, 0.79, 0.6, 0.6, 0.99, 0.98, 0.81, 1.08, 0.93, 0.99, 0.88, 0.52, 0.66, 1.04, 0.67, 0.69, 0.65, 0.58, 0.53, 0.65, 0.97, 0.5, 1.0, 0.77, 0.64, 0.79, 0.76]
