70 3537.5249999999996 0 1680 28 60
[86.72, 81.65, 89.71, 56.03, 57.55, 19.26, 41.88, 8.27, 24.76, 73.63, 53.22, 47.07, 91.45, 12.52, 76.02, 8.53, 73.42, 50.61, 23.94, 53.88, 90.62, 58.25, 76.8, 49.36, 44.47, 8.59, 47.65, 74.7, 8.07, 22.69, 46.61, 18.02, 90.81, 48.91, 8.42, 12.33, 75.08, 84.37, 83.52, 58.21, 50.26, 86.74, 89.25, 13.37, 23.79, 85.63, 17.23, 46.23, 78.98, 19.4, 79.62, 47.07, 73.36, 88.68, 45.45, 12.87, 46.3, 14.25, 16.49, 83.28, 87.95, 77.06, 13.47, 15.35, 12.43, 47.15, 57.42, 50.16, 8.53, 86.05]
[43.36, 88.41, 51.22, 51.66, 22.8, 81.34, 48.13, 56.03, 52.01, 10.53, 40.09, 16.93, 46.48, 23.01, 90.18, 51.38, 20.61, 81.25, 87.66, 41.15, 47.38, 26.17, 82.38, 8.66, 83.23, 77.61, 40.7, 73.98, 49.25, 58.98, 77.49, 58.71, 47.45, 51.15, 80.31, 56.85, 12.73, 58.84, 17.51, 22.03, 51.39, 54.83, 92.63, 50.21, 25.58, 49.98, 47.98, 46.75, 57.49, 9.49, 40.38, 19.68, 84.68, 79.29, 81.49, 92.04, 23.16, 48.99, 43.72, 41.63, 20.87, 24.03, 89.93, 93.3, 42.54, 92.01, 43.25, 90.75, 91.79, 21.2]
[6, 9, 6, 5, 2, 7, 5, 4, 4, 3, 5, 2, 6, 1, 9, 4, 3, 8, 7, 5, 6, 2, 9, 2, 8, 7, 5, 9, 4, 4, 8, 4, 6, 5, 7, 4, 3, 6, 3, 2, 5, 6, 9, 4, 1, 6, 4, 5, 6, 1, 6, 2, 9, 9, 8, 7, 2, 4, 4, 6, 3, 3, 7, 7, 4, 8, 5, 8, 7, 3]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]
[1, 3, 1, 3, 2, 2, 3, 1, 1, 3, 3, 2, 1, 3, 3, 1, 3, 3, 2, 3, 1, 2, 3, 2, 3, 2, 3, 3, 1, 1, 3, 1, 1, 3, 2, 1, 3, 1, 3, 2, 3, 1, 3, 1, 3, 1, 1, 3, 1, 3, 1, 2, 3, 3, 3, 2, 2, 1, 1, 1, 3, 3, 2, 2, 1, 3, 3, 3, 2, 3]
[3, 3, 3, 2, 2, 3, 2, 1, 1, 1, 2, 2, 3, 1, 3, 1, 1, 1, 3, 2, 3, 2, 3, 2, 1, 3, 2, 3, 1, 1, 1, 1, 3, 2, 3, 1, 1, 3, 1, 2, 2, 3, 3, 1, 1, 3, 1, 2, 3, 1, 3, 2, 3, 3, 1, 3, 2, 1, 1, 3, 1, 1, 3, 3, 1, 1, 2, 1, 3, 1]
[10, 8, 9, 4, 6, 8, 3, 6, 2, 7, 10, 3, 5, 6, 2, 2, 10, 9, 9, 3, 2, 1, 7, 7, 5, 1, 6, 9, 3, 3, 9, 2, 6, 2, 2, 6, 9, 5, 9, 1, 4, 3, 3, 5, 7, 5, 4, 3, 1, 3, 1, 7, 7, 5, 1, 2, 3, 6, 1, 10, 8, 7, 8, 7, 5, 4, 3, 8, 10, 8]
[2358.44, 2998.6, 3545.02, 2780.83, 1857.35, 3166.22, 3820.49, 2185.97, 4170.43, 3416.07, 2388.48, 3912.57, 1769.8, 2140.77, 4532.78, 4907.48, 2398.29, 2485.0, 3195.71, 4892.02, 3524.99, 3892.98, 3214.63, 3476.2, 1991.97, 4033.29, 2102.86, 2750.07, 2327.02, 4131.48, 3889.94, 4834.78, 1851.1, 4858.21, 4804.88, 2069.98, 4329.96, 1891.71, 4421.1, 4263.89, 3048.82, 1857.56, 4623.94, 2069.12, 3136.82, 2081.34, 3114.02, 3703.34, 4265.81, 2038.78, 3884.62, 3399.61, 3074.89, 1830.24, 4038.17, 3779.46, 2202.43, 1870.79, 4004.26, 2326.93, 3391.57, 3175.55, 2345.73, 3418.74, 1936.8, 2810.98, 3833.03, 3125.7, 2336.03, 4578.46]
[0.4, 0.24, 0.58, 0.04, 0.66, 0.26, 0.88, 0.66, 0.55, 0.77, 0.24, 0.88, 0.45, 0.77, 0.53, 0.73, 0.26, 0.48, 0.59, 0.93, 0.76, 0.59, 0.73, 0.75, 0.43, 0.58, 0.7, 0.48, 0.92, 0.89, 0.48, 0.72, 0.77, 0.72, 0.62, 0.88, 0.52, 0.44, 0.57, 0.57, 0.13, 0.91, 0.88, 0.44, 0.72, 0.44, 0.08, 0.92, 0.62, 0.89, 0.65, 0.77, 0.78, 0.44, 0.66, 0.78, 0.89, 0.81, 0.61, 0.37, 0.22, 0.67, 0.23, 0.68, 0.45, 0.1, 0.92, 0.26, 0.51, 0.26]
[0.96, 0.71, 0.75, 0.83, 0.93, 0.68, 0.6, 0.95, 1.1, 0.71, 0.95, 1.0, 1.06, 0.57, 0.57, 0.95, 0.96, 0.93, 0.89, 0.64, 0.87, 1.05, 0.67, 0.6, 0.78, 0.55, 0.55, 0.84, 0.73, 0.65, 0.68, 0.88, 0.55, 0.79, 0.64, 0.86, 0.87, 0.91, 0.76, 0.79, 0.56, 0.89, 0.97, 0.67, 0.8, 0.69, 0.96, 0.96, 0.82, 0.67, 1.0, 1.01, 0.65, 0.78, 0.9, 0.64, 1.09, 0.63, 1.02, 0.94, 0.84, 0.95, 0.97, 0.59, 0.53, 0.96, 0.55, 0.76, 0.85, 0.83]
[0.93, 1.09, 0.52, 1.07, 1.02, 0.94, 1.08, 0.7, 0.74, 0.82, 0.98, 0.93, 0.53, 0.68, 0.69, 0.8, 0.87, 0.62, 0.76, 0.64, 0.62, 1.09, 0.53, 0.91, 0.62, 0.93, 0.84, 1.04, 0.51, 0.64, 0.54, 0.68, 0.91, 0.55, 1.09, 0.91, 0.78, 1.0, 1.03, 0.68, 0.9, 1.03, 0.62, 0.88, 0.97, 0.84, 0.84, 0.74, 0.52, 0.65, 1.03, 0.86, 0.92, 0.89, 0.55, 1.07, 1.07, 0.87, 0.61, 0.65, 1.08, 0.51, 0.69, 0.73, 0.54, 0.86, 0.62, 0.6, 1.09, 0.64]
[0.62, 0.7, 0.64, 0.71, 0.55, 0.83, 0.72, 0.85, 0.84, 0.55, 0.57, 0.75, 0.8, 0.58, 0.85, 0.78, 0.64, 0.85, 0.97, 0.97, 0.77, 0.53, 0.9, 0.61, 0.61, 0.96, 0.55, 1.08, 0.9, 0.89, 1.07, 0.53, 1.02, 0.72, 0.61, 0.51, 0.77, 0.84, 0.72, 0.9, 0.91, 0.64, 0.83, 0.96, 0.9, 0.67, 0.95, 0.67, 0.69, 0.87, 1.02, 0.84, 1.01, 0.59, 0.81, 1.0, 0.86, 0.52, 0.94, 1.08, 0.88, 0.99, 0.86, 0.96, 0.67, 0.54, 0.6, 0.64, 0.54, 1.07]
[0.65, 0.7, 0.77, 0.56, 0.69, 1.09, 1.01, 0.68, 0.89, 1.05, 0.86, 0.59, 0.56, 0.83, 0.62, 0.78, 0.8, 0.72, 0.75, 1.01, 0.98, 0.84, 0.7, 0.55, 0.67, 0.82, 0.77, 1.09, 0.5, 1.08, 0.84, 0.85, 1.09, 0.93, 0.69, 0.51, 0.69, 0.88, 0.65, 1.05, 0.79, 0.52, 0.83, 0.84, 0.87, 1.05, 0.65, 1.0, 0.98, 0.55, 0.92, 0.74, 0.9, 0.98, 0.61, 0.82, 0.7, 0.67, 1.08, 0.65, 0.57, 0.7, 0.6, 0.94, 0.61, 0.56, 1.1, 0.58, 0.63, 1.09]
[0.72, 0.82, 0.62, 0.7, 0.65, 0.64, 0.7, 0.85, 0.9, 0.94, 0.62, 0.76, 0.77, 0.55, 0.66, 0.57, 0.53, 0.99, 0.92, 0.63, 0.94, 0.84, 0.6, 1.02, 1.01, 0.93, 1.02, 0.61, 0.63, 0.57, 0.5, 0.62, 0.7, 0.96, 1.08, 0.96, 0.91, 1.02, 0.87, 0.95, 0.6, 0.81, 0.63, 0.57, 0.54, 0.54, 0.96, 0.76, 1.02, 0.59, 1.04, 0.99, 0.76, 0.71, 0.89, 0.92, 0.67, 0.91, 0.99, 0.84, 0.51, 0.92, 1.0, 0.53, 0.66, 0.79, 0.98, 0.75, 0.92, 0.88]
[0.26, 0.31, 0.12, 0.25, 0.23, 0.37, 0.33, 0.32, 0.55, 0.32, 0.28, 0.31, 0.19, 0.1, 0.14, 0.26, 0.23, 0.35, 0.46, 0.25, 0.38, 0.43, 0.14, 0.18, 0.2, 0.38, 0.2, 0.63, 0.11, 0.23, 0.17, 0.16, 0.39, 0.28, 0.31, 0.2, 0.33, 0.69, 0.32, 0.48, 0.22, 0.24, 0.26, 0.27, 0.33, 0.22, 0.48, 0.36, 0.29, 0.12, 1.0, 0.53, 0.41, 0.29, 0.22, 0.52, 0.47, 0.17, 0.62, 0.36, 0.23, 0.31, 0.34, 0.21, 0.08, 0.2, 0.22, 0.12, 0.29, 0.55]
[706.85, 660.42, 778.2, 221.26, 241.52, 986.79, 1208.62, 180.7, 600.6, 584.22, 958.92, 929.17, 713.95, 173.13, 637.49, 439.34, 742.93, 879.66, 1001.85, 1155.29, 381.9, 186.18, 484.04, 497.89, 336.42, 185.08, 132.53, 913.68, 1112.32, 693.52, 1044.11, 551.41, 169.68, 592.04, 1073.26, 206.22, 932.7, 543.65, 798.86, 151.75, 179.78, 979.68, 1018.01, 302.54, 739.3, 403.44, 156.05, 1080.07, 132.31, 1057.01, 243.73, 491.78, 745.43, 363.32, 98.19, 564.52, 821.21, 165.79, 131.8, 795.62, 645.18, 709.09, 936.36, 555.7, 376.49, 204.48, 1313.49, 740.01, 569.75, 412.32]
[191.69, 199.31, 98.87, 54.49, 53.33, 371.46, 360.13, 57.88, 359.14, 184.54, 279.91, 300.06, 155.74, 17.31, 79.57, 113.37, 164.53, 301.7, 469.24, 291.56, 147.45, 76.23, 70.11, 96.63, 69.65, 76.51, 24.57, 597.72, 124.21, 164.37, 171.75, 87.47, 71.51, 158.52, 334.97, 45.57, 294.43, 378.81, 278.03, 73.71, 40.73, 213.78, 274.17, 80.06, 253.87, 97.47, 80.83, 407.37, 40.44, 120.37, 243.73, 273.63, 316.76, 113.19, 21.1, 297.69, 360.16, 29.41, 80.77, 287.59, 155.9, 233.93, 295.83, 100.75, 26.78, 44.2, 319.68, 90.91, 153.25, 230.92]
[3034.23, 2802.09, 3391.02, 606.29, 707.62, 4433.94, 5543.09, 403.51, 2502.98, 2421.1, 4294.62, 4145.85, 3069.76, 365.64, 2687.46, 1696.72, 3214.64, 3898.32, 4509.23, 5276.44, 1409.52, 430.89, 1920.18, 1989.44, 1182.09, 425.39, 162.64, 4068.42, 5061.62, 2967.58, 4720.57, 2257.05, 348.39, 2460.18, 4866.32, 531.09, 4163.48, 2218.23, 3494.3, 258.75, 398.88, 4398.4, 4590.07, 1012.68, 3196.52, 1517.18, 280.25, 4900.33, 161.55, 4785.04, 718.65, 1958.88, 3227.16, 1316.61, -9.04, 2322.58, 3606.03, 328.97, 159.01, 3478.09, 2725.89, 3045.46, 4181.79, 2278.52, 1382.46, 522.42, 6067.46, 3200.04, 2348.76, 1561.59]
[458.44, 496.57, -5.63, -227.53, -233.36, 1357.29, 1300.65, -210.59, 1295.68, 422.68, 899.54, 1000.32, 278.68, -413.44, -102.15, 66.83, 322.64, 1008.52, 1846.21, 957.8, 237.25, -118.86, -149.47, -16.84, -151.75, -117.44, -377.16, 2488.58, 121.05, 321.84, 358.74, -62.63, -142.43, 292.59, 1174.84, -272.17, 972.14, 1394.06, 890.13, -131.46, -296.34, 568.9, 870.85, -99.69, 769.34, -12.66, -95.87, 1536.87, -297.82, 101.84, 718.65, 868.14, 1083.82, 65.96, -394.51, 988.44, 1300.78, -352.95, -96.16, 937.93, 279.51, 669.66, 979.14, 3.74, -366.08, -278.98, 1098.39, -45.44, 266.25, 654.61]
