90 7143.940000000001 0 1680 28 60
[55.17, 59.13, 9.7, 80.75, 59.72, 90.21, 41.99, 17.34, 9.4, 57.39, 75.17, 78.44, 46.93, 51.39, 91.51, 41.27, 87.96, 19.19, 17.64, 44.11, 58.96, 86.53, 85.14, 13.64, 86.78, 74.17, 74.2, 13.35, 51.32, 80.21, 26.03, 56.79, 50.7, 54.01, 41.4, 51.68, 92.14, 74.2, 25.55, 82.77, 10.92, 53.31, 10.93, 82.59, 56.55, 57.16, 52.32, 41.62, 84.71, 86.07, 77.48, 84.35, 89.68, 74.86, 90.97, 9.19, 88.73, 86.2, 49.83, 83.14, 56.76, 44.64, 13.91, 16.62, 20.43, 16.11, 51.34, 12.4, 11.0, 8.94, 93.11, 8.48, 22.65, 90.31, 86.43, 92.37, 42.04, 90.77, 7.93, 44.72, 56.11, 46.32, 88.5, 51.89, 55.34, 46.51, 16.43, 21.86, 44.57, 19.5]
[42.21, 18.61, 81.37, 45.35, 42.49, 76.54, 47.92, 40.83, 41.01, 77.31, 25.73, 80.95, 40.71, 43.16, 58.09, 53.21, 82.85, 41.31, 19.87, 89.92, 21.12, 20.19, 7.73, 46.08, 77.64, 57.73, 42.25, 9.04, 51.42, 89.93, 54.31, 83.35, 89.94, 86.49, 87.17, 13.66, 55.09, 23.1, 16.98, 26.64, 13.61, 84.49, 24.49, 58.35, 81.83, 15.5, 10.02, 44.3, 88.38, 17.74, 51.39, 89.61, 47.22, 55.46, 43.03, 21.58, 6.95, 58.36, 7.72, 84.83, 79.24, 24.32, 49.63, 11.54, 50.91, 8.54, 18.72, 40.85, 41.35, 77.25, 57.5, 77.87, 45.94, 23.26, 54.39, 10.94, 49.12, 77.93, 53.22, 25.86, 81.09, 17.44, 12.98, 82.99, 11.24, 47.65, 79.92, 43.48, 56.03, 10.73]
[5, 2, 7, 6, 5, 9, 5, 4, 4, 8, 3, 9, 5, 5, 6, 5, 9, 4, 1, 8, 2, 3, 3, 4, 9, 6, 6, 1, 5, 9, 4, 8, 8, 8, 8, 2, 6, 3, 1, 3, 1, 8, 1, 6, 8, 2, 2, 5, 9, 3, 6, 9, 6, 6, 6, 1, 3, 6, 2, 9, 8, 2, 4, 1, 4, 1, 2, 4, 4, 7, 6, 7, 4, 3, 6, 3, 5, 9, 4, 2, 8, 2, 3, 8, 2, 5, 7, 4, 5, 1]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]
[1, 1, 1, 2, 1, 3, 1, 3, 3, 2, 2, 3, 1, 1, 2, 1, 3, 3, 2, 2, 1, 2, 2, 3, 3, 2, 2, 2, 1, 3, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 3, 2, 1, 3, 2, 3, 2, 1, 3, 3, 1, 2, 1, 3, 2, 2, 2, 1, 3, 3, 1, 2, 1, 2, 2, 1, 1, 1, 3, 1, 2]
[2, 3, 2, 3, 2, 3, 2, 1, 1, 2, 2, 3, 2, 2, 3, 2, 3, 1, 2, 2, 3, 2, 2, 1, 3, 3, 3, 2, 2, 3, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 3, 1, 2, 1, 2, 3, 1, 1, 2, 3, 2, 1, 2, 3, 2, 2, 3, 1, 3, 2, 3, 2, 2, 3, 2, 2, 1, 2, 2]
[7, 1, 3, 7, 7, 3, 4, 6, 2, 1, 3, 8, 9, 1, 4, 2, 1, 3, 7, 10, 7, 8, 4, 7, 8, 3, 8, 4, 5, 10, 4, 1, 10, 5, 1, 5, 4, 1, 10, 6, 9, 4, 3, 3, 8, 3, 5, 7, 3, 9, 1, 8, 4, 3, 10, 2, 2, 10, 7, 1, 3, 8, 7, 10, 1, 4, 4, 6, 9, 8, 4, 6, 3, 3, 1, 7, 8, 4, 1, 1, 6, 3, 2, 5, 5, 5, 8, 2, 2, 1]
[2827.15, 1946.29, 1925.42, 3401.18, 4394.27, 2282.52, 2779.91, 1463.6, 2614.13, 3245.83, 1633.17, 2868.79, 3044.22, 2021.83, 2807.57, 1897.69, 2026.9, 1724.6, 3939.22, 2034.01, 4672.91, 1663.31, 3538.02, 3066.89, 1582.61, 2439.11, 2505.64, 3269.47, 2400.44, 2512.85, 3027.34, 2123.72, 2120.93, 1837.81, 2045.86, 2393.38, 3498.45, 2759.95, 2603.98, 1285.54, 3161.68, 3460.16, 3393.25, 3724.11, 1639.14, 2948.65, 2052.02, 3130.78, 3232.3, 1891.61, 1994.89, 2365.91, 3365.26, 1902.16, 2796.84, 2750.86, 2685.54, 1924.4, 2673.6, 1787.5, 3252.33, 3622.62, 3935.02, 2663.01, 2367.15, 3364.83, 3709.95, 2330.5, 3629.61, 3601.47, 2793.73, 1698.7, 2702.89, 3698.84, 1684.26, 4594.75, 2483.17, 3591.67, 2773.07, 2746.03, 2723.68, 1584.4, 3040.56, 2690.35, 2196.13, 2715.55, 3466.62, 3282.82, 2760.83, 2827.52]
[0.13, 0.38, 0.45, 0.25, 0.2, 0.4, 0.57, 0.75, 0.39, 0.33, 0.42, 0.32, 0.59, 0.44, 0.52, 0.53, 0.35, 0.43, 0.08, 0.96, 0.31, 0.56, 0.44, 0.04, 0.43, 0.44, 0.75, 0.38, 0.96, 0.87, 0.45, 0.36, 0.93, 0.61, 0.45, 0.7, 0.61, 0.29, 0.85, 0.57, 0.42, 0.42, 0.41, 0.44, 0.44, 0.45, 0.96, 0.26, 0.46, 0.48, 0.53, 0.79, 0.33, 0.42, 0.97, 0.62, 0.52, 0.95, 0.08, 0.49, 0.41, 0.44, 0.33, 0.86, 0.37, 0.3, 0.61, 0.57, 0.48, 0.45, 0.23, 0.69, 0.43, 0.43, 0.4, 0.19, 0.45, 0.25, 0.35, 0.38, 0.73, 0.41, 0.41, 0.9, 0.81, 0.6, 0.78, 0.76, 0.71, 0.31]
[1.04, 0.55, 0.55, 0.94, 0.72, 0.51, 0.79, 1.1, 0.93, 0.8, 0.66, 0.63, 0.61, 1.07, 0.92, 0.55, 0.85, 1.04, 0.96, 1.06, 0.67, 0.95, 0.78, 0.76, 0.87, 0.67, 0.85, 0.96, 0.86, 0.73, 1.03, 0.88, 0.85, 0.52, 0.66, 0.98, 0.67, 0.78, 0.97, 1.02, 1.09, 1.04, 0.65, 1.04, 0.64, 0.67, 0.87, 0.54, 0.82, 0.69, 0.79, 0.74, 0.6, 0.81, 0.8, 0.97, 0.59, 0.65, 0.75, 0.55, 0.89, 0.96, 0.97, 0.54, 1.0, 0.65, 1.08, 0.91, 0.59, 0.74, 1.0, 0.84, 0.88, 0.77, 0.91, 0.89, 1.09, 0.93, 0.82, 0.6, 1.09, 0.78, 0.52, 0.91, 0.65, 0.64, 1.04, 0.71, 1.03, 0.57]
[0.68, 0.7, 0.77, 0.51, 0.83, 0.73, 0.82, 0.72, 0.66, 1.01, 1.04, 0.66, 1.09, 0.56, 0.52, 0.97, 0.62, 0.6, 0.85, 0.99, 0.6, 0.66, 0.53, 0.63, 0.53, 0.8, 0.78, 0.67, 0.68, 0.59, 0.68, 1.03, 1.06, 0.84, 0.65, 0.73, 1.05, 0.87, 0.66, 0.65, 1.1, 0.52, 0.88, 0.65, 0.95, 0.91, 1.01, 0.5, 0.59, 0.54, 0.57, 1.07, 0.8, 0.93, 0.84, 0.89, 0.89, 1.09, 0.63, 0.84, 0.93, 0.87, 0.7, 0.67, 1.09, 0.86, 0.83, 1.06, 0.73, 0.53, 0.68, 0.55, 0.91, 0.73, 1.08, 0.6, 0.67, 0.84, 0.7, 0.8, 0.99, 0.92, 1.0, 1.05, 0.7, 0.54, 0.65, 0.71, 0.78, 0.98]
[0.66, 0.85, 0.96, 1.07, 0.95, 0.55, 0.69, 0.79, 0.83, 0.61, 0.98, 0.79, 1.09, 0.64, 0.89, 0.93, 0.65, 0.7, 0.87, 0.75, 0.65, 0.91, 0.87, 0.7, 0.64, 0.99, 0.78, 1.03, 0.83, 0.91, 1.01, 0.69, 1.01, 1.09, 0.75, 0.97, 0.64, 0.74, 1.07, 0.87, 0.81, 0.9, 0.72, 0.57, 0.55, 1.03, 1.05, 0.6, 0.53, 0.82, 0.67, 0.61, 0.68, 0.87, 0.52, 0.59, 0.78, 0.8, 0.98, 0.91, 0.87, 0.75, 0.97, 0.66, 0.71, 0.6, 0.72, 1.01, 0.82, 0.83, 0.5, 0.81, 1.04, 0.82, 0.76, 0.63, 0.65, 0.69, 0.72, 0.68, 0.9, 0.81, 0.87, 0.74, 0.69, 0.52, 0.81, 0.7, 0.66, 1.02]
[0.86, 0.89, 0.62, 0.65, 0.96, 0.8, 0.64, 0.65, 0.54, 0.91, 0.52, 0.53, 0.99, 1.08, 0.68, 0.56, 0.79, 0.75, 0.6, 0.55, 0.8, 1.02, 0.81, 0.94, 0.56, 0.76, 0.6, 0.87, 0.68, 0.74, 0.6, 0.76, 1.09, 0.57, 0.84, 0.55, 0.66, 1.06, 0.59, 1.03, 0.83, 1.08, 0.88, 0.51, 0.74, 0.87, 0.99, 0.87, 0.7, 0.59, 0.95, 0.78, 1.0, 0.65, 0.63, 0.82, 0.58, 0.79, 0.64, 0.95, 0.87, 0.61, 0.61, 1.07, 0.87, 0.83, 1.03, 0.69, 0.72, 0.76, 0.9, 0.65, 0.79, 0.91, 0.69, 0.6, 0.72, 0.52, 0.55, 0.64, 0.71, 1.05, 0.99, 0.91, 0.61, 1.07, 0.63, 0.77, 0.72, 0.99]
